folders,41162
linear feet,2498
items,2120
negatives,2086
volumes,1869
photographs,1019
volume,820
item,725
linear foot,633
prints,571
folder,534
tapes,479
,450
oversize folder,380
envelopes,340
cassette,333
cassettes,315
slides,278
frames,277
reel,260
reels,257
photos,229
oversize volumes,204
sheets,175
cd,165
drawings,157
copies,146
+ negs,137
binder,137
also medium,124
expandable folders,122
negs,122
min,120
print,117
plates,114
expandable folder,111
sheets : various media ; or smaller,107
binders,101
oversize volume,100
sheet,96
files,75
oversize folders,74
feet,63
discs,63
images,63
"cd, cs",62
photonegatives,61
pieces,60
boxes,57
pp,55
issues,51
PDF,51
cds,51
GB,47
pages,47
negative,46
MB,40
disc,39
notebook,39
medium only,38
microfilm rolls,36
notebooks,34
videotapes,33
sound tape reel,33
cassette tapes,32
multiple folders,30
contact sheets,30
box,29
also medium and large,29
minute cassette,29
ZIP file,27
"cds, cs",26
bound volumes,26
"architectural, mechanical and electrical drawings",24
microfilm reels,24
large only,24
bound volume,21
architectural drawings,20
oversized volumes,20
v,19
cards,19
envelope,18
maps,18
oversized folder,18
minutes,18
CDs,17
drawing,17
boards,17
"folders, also medium",16
slide,16
sound tape reels,16
microcassettes,15
album,15
map : ms,15
minute cassettes,15
bundle,14
records,14
microfilm reel,14
disks,14
also large,13
contact sheet,13
albums,13
reel-to-reel tapes,13
tape,13
reels of microfilm,13
cassette tape,13
VHS tapes,12
oversize box,12
microfilm roll,12
mounted print,12
audio cassettes,12
microcassette,11
packets,11
seconds,10
vols,10
cs only,10
CD,10
architectural and electrical drawings,9
blueprints,9
oversized folders,9
books,9
booklets,9
mounted prints,9
rolls,9
file,9
medium and large only,9
perspective,8
reel-to-reel tape,8
portfolio,8
CD-ROM,8
oversize items,8
sound cassettes,8
U-matic tape,7
compact discs,7
cd-r,7
DAT,7
audiocassettes,7
parts,7
meet action,7
DVDs,7
scattered issues,7
small box,7
motion picture reels,7
websites,7
videocassettes,6
reports,6
"cs, prints and head shots, meet action; posed",6
sound cassette,6
sound tape reel:; 7 inches,6
of 2 folders,6
tubes,6
different prints,6
audiocassette tapes,6
reel of microfilm,6
VHS cassette,6
folders 1-6,6
scrapbooks,6
image,6
"architectural, structural and mechanical;electrical drawings",6
PDF and .TIFF files,6
minute cassette tape,5
portfolios,5
oversized boxes,5
hours,5
perspectives,5
electrostatic print,5
card,5
audiocassette,5
sheets : pencil on tracing paper ; or smaller,5
oversize,5
reels retained,5
positive print,5
MB [1 digital file],5
Tapes,5
oversize films,5
by Balthazar Korab,5
sides,5
outsize,4
cassette 75 minutes,4
VHS tape,4
by Greg Hursley,4
including 3 Gibson prints,4
oversize photographs,4
VHS videotapes,4
bundles,4
ring binder,4
oversize v,4
VHS videotape,4
snapshots,4
interviews,4
folders 1-3,4
photograph,4
CD-Rs,4
audio tape reels,4
reel microfilm,4
oversize item,4
vol,4
phonograph records,4
cans,4
vhs tapes,4
/2 hours,4
slide boxes,4
tube,4
expandable folder folders,4
inches,4
posters,4
eds,3
prints of various sizes,3
"images, mostly",3
titles,3
Tape,3
sheets : various media : or smaller,3
oversize scrapbooks,3
oversize bundle,3
rolls of microfilm,3
motion picture reel,3
hour,3
mm,3
digital files,3
sheet : pencil with pastel on tracing paper ; or smaller,3
reels of 16 mm film,3
audio cassette,3
map,3
audiocassette tape,3
DATs,3
oversize scrapbook,3
cd and cs,3
"cs, head shots and meet action, posed",3
roll microfilm,3
undated,3
glass negatives,3
pocket folders,3
"binders, missing volumes II and III",3
oversize folder Ac,3
bound set,3
oversized box,3
VHS cassettes,3
"architectural, structural and mechanical, electrical;plumbing drawings",3
"cds, contact sheets",3
tape reels,3
"architectural, structural and electrical drawings",3
oversize film,3
versions,3
oversize boxes,3
packet,3
different portraits,3
DVD copy,3
only 1 revised,3
transparencies,3
pencil on tracing paper,3
MB [2 digital files],3
photo,3
sound discs,3
and prints,3
scrapbook,3
blueprint,3
dvds,3
"architectural, mechanical and electrical;plumbing drawings",3
small boxes,3
sheet : pencil on tracing paper ; or smaller,3
slide box,3
map: ms,3
sheets of contact prints,3
zip disks,3
brochures,3
VHS,3
audio tape reel,3
drafts,3
pamphlets,3
photographic negatives,3
videotape,3
linear ft,3
BL002061-BL002066,2
black binder,2
cd cs,2
electrostatic print on mylar,2
volumes/bundles,2
"binders, missing volumes VI-VIII",2
mm. negatives,2
indices,2
U-Matic tapes,2
of 5 folders,2
TIFF file,2
accordion folder,2
oversize notebook,2
lin. feet,2
illustrations,2
folders 1-4,2
transcripts,2
folders of prints,2
original files,2
phonograph discs,2
