extent name,number of discrete appearances of extent type in EAD files,total extent size through all collections
linear feet,1324,16140.509999999982
linear ft,671,9211.049999999997
oversize folder,240,240.0
linear foot,223,223.60000000000002
oversize volumes,151,1726.0
linear feet (in [x] boxes),110,1298.1999999999998
oversize volume,68,68.0
outsize folder,39,39.0
folder,38,37.0
linear feet in [x] boxes,31,442.6
oversize folders,30,229.0
linear ft. (in [x] boxes),24,184.49999999999997
linear ft. ([x] boxes),23,440.90000000000003
oversized volumes,23,255.0
microfilm rolls,22,348.0
GB,21,286.53000000000003
outsize volumes,20,365.0
box,18,18.0
folders,17,86.0
microfilm reels,17,149.0
outsize folders,17,105.0
linear feet ([x] boxes),16,171.65000000000003
volume,16,16.0
outsize volume,15,15.0
linear ft. in [x] boxes,13,239.3
MB [[x] digital files],12,1235.6699999999998
items,12,712.0
MB,11,3679.7799999999997
MB (online),11,3489.28
volumes,11,637.0
GB (online),10,344.2
outsized folder,9,9.0
oversize box,9,9.0
oversized folder,9,9.0
microfilm reel,8,8.0
microfilm roll,8,8.0
oversize items,7,43.0
websites (multiple captures),7,157.0
digital files,6,887.0
lin. ft,6,31.5
oversize folder (UAm),5,5.0
oversize v,5,11.0
reels of microfilm,5,165.0
tubes,5,224.0
v,5,46.0
EMPTY EXTENT,4,0
MB [[x] digital file],4,89.5
envelope,4,4.0
folders),4,86.0
item,4,4.0
linear feet (in [x] boxes,4,61.0
linear foot (in [x] boxes),4,4.0
motion picture reels,4,51.0
one outsize folder,4,0
one oversize folder,4,0
outsize box,4,4.0
oversized folders,4,15.0
1,3,0
linear feet (in [x] box),3,1.3
maps,3,253.0
motion picture reel,3,3.0
one outsize volume,3,0
outsize boxes,3,23.0
outsized folders,3,20.0
outsized volumes,3,13.0
oversized box,3,3.0
oversized boxes,3,17.0
v.),3,7.0
videotapes,3,19.0
volumes (in [x] box),3,42.0
4,2,0
DVDs,2,21.0
architectural drawings,2,3140.0
architectural drawings in [x] drawers,2,8329.0
audio cassettes,2,20.0
audiocassettes,2,143.0
bound volumes,2,82.0
boxes,2,169.0
ca. [x] films,2,4500.0
ca. [x] items,2,2600.0
ca. [x] items),2,2225.0
ca. [x] photographs in [x] boxes,2,2700.0
film reels,2,18.0
flat file drawers,2,6.0
folder),2,2.0
items ([x] box),2,66.0
items (in [x] box),2,120.0
items in [x] box,2,61.0
items in [x] folder,2,56.0
"linear feet
(in [x] boxes)",2,30.8
linear feet ([x] volumes,2,3.5
linear feet (in [x] boxes including outsize),2,8.8
linear feet (in [x] boxes including oversize),2,72.8
linear feet (including outsize),2,8.6
linear feet (on [x] microfilm rolls),2,19.0
linear foot ([x] volumes),2,2.0
linear ft. ([x] items,2,0.7
linear ft. ([x] v,2,6.0
map : ms,2,2.0
maps : col. ; [x] x [x] cm,2,9.0
one outsize scrapbook,2,0
one oversized folder,2,0
outsize drawers,2,27.0
outsize v,2,58.0
oversize boxes,2,4.0
oversize film,2,2.0
oversize folder),2,2.0
oversize item,2,2.0
oversize scrapbooks,2,5.0
oversize volumes),2,15.0
oversized items,2,10.0
phonograph record,2,2.0
reels microfilm,2,98.0
roll microfilm,2,2.0
sound cassettes,2,58.0
streaming file,2,0
transcripts,2,177.0
tube,2,2.0
v. (outsize),2,2.0
volumes (in [x] boxes),2,33.0
"
                    drawings",1,0
/[x] linear feett,1,0
0.3,1,0
10,1,0
1928-1958,1,0
1973-2006,1,0
2,1,0
22,1,0
7,1,0
Approximately 11.[x] linear feet,1,0
Approximately 2,1,0
Approximately 38.[x] linear feet (in [x] boxes),1,0
Approximately [x] linear feet (in [x] boxes),1,0
Avery Library Collection: [x] linear ft,1,0
BB,1,296.0
Bentley Library Collection:12.[x] linear ft,1,0
Betacam videotapes (in [x] boxes),1,68.0
Boxes,1,6.0
CD,1,1.0
CD-ROMs,1,2.0
DVD,1,0
DVD use copy,1,0
DVD-video,1,1.0
DVDs (in [x] boxes),1,28.0
GB [[x] digital files],1,2.66
GB of digital files,1,3.71
