"""superseded""",1
#[x]-[x] of [x] posters,1
+ negs,3
:[x],46
"Allentown, PA",1
Approximately [x],1
Approximately [x] linear feet,3
Avery Library Collection: [x] linear ft,1
BB,1
BL[x]-BL[x],12
BL[x]-BLl[x],2
Bentley Library Collection:[x] linear ft,1
Beta tapes,1
Betacam videotapes,1
Bimu/B[x]/Out,1
Binders of Exhibits,1
Bl[x]-BL[x],2
Books [x]-[x],1
Bound Volumes,1
Box [x],1
Boxes,2
CD,10
CD boxes,1
CD-R,1
CD-R of the exhibit,1
CD-ROM,8
CD-ROM disk,1
CD-ROMs,2
CD-Rs,4
CDs,17
Contains CD with Powerpoint,1
DAT,7
DATs,3
DVD copy,3
DVD-R,1
DVD-Rs,1
DVD-video,1
DVD: [x]:[x] min,1
DVDs,7
"DVDs, digital video files",1
Diana Barrymore,1
"Eight-hundred-fourteen [x]x[x]-inch, black-and-white prints by unknown photographer",1
Files,1
Folders,2
GB,30
GB (online,17
GB [x]Mb,1
GB of digital files,1
GB or [x],1
"GB, archived website",1
"GB, online",1
"George Murphy, Vincente Minelli",1
"Gloria Swanson, Imperial Wizard of Ku Klux Klan",1
Heavily noted. Copied from [x][x][x],1
II,1
III,3
"III, VIII",1
ISSUE EXTENT,5
Inc,1
JPG file,2
June,1
KB,1
"KB, online",1
Lantern slides,1
Linear Feet,1
MB,45
MB (online,17
MHT file,1
Manuscript bound,1
May be bad,1
Mb,1
Microfilm Edition: [x] reels,1
Microfilm edition: [x] rolls of microfilm,1
Mini D digital cassettes,1
NIS [x],1
New York World's Fair,1
Numbers:,1
Original Extent,1
Original papers: [x] boxes,1
Oversize volume,1
PA,1
PDF,51
"PDF, .TIFF file",1
"PDF, .TIFF files",6
Pages [x]-[x],3
Papers: [x] linear feet,1
Pencil sketches on [x] blue-line prints,1
Primarily [x]-[x],1
RT: [x]:[x],1
Scrapbook Volumes,1
Spanish,1
TIFF file,2
Tape,3
Tapes,5
U-Matic tapes,2
U-matic cassettes,2
"U-matic cassettes, workbook",1
U-matic tape,7
U-matic tapes,1
U-matic use copy of films,1
U-matic videocassettes,1
U-matic videotapes,1
UBImul/F[x],1
USB thumb drives,1
