Society for Humanistic Judaism.,Society for Humanistic Judaism,http://id.loc.gov/authorities/names/n84195130
"United States. Army. Michigan Artillery Regiment, 6th (1863-1865)","United States. Army. Michigan Artillery Regiment, 6th (1863-1865)",http://id.loc.gov/authorities/names/no89020502
"Overseas Advisory Associates, Inc.","Overseas Advisory Associates, Inc.",http://id.loc.gov/authorities/names/no94022314
Eureka Iron Company.,"Eureka Iron Company (Wyandotte, Mich.)",http://id.loc.gov/authorities/names/n95030709
University of Michigan. Section of Neurosurgery.,University of Michigan. Section on Neurosurgery,http://id.loc.gov/authorities/names/n2015183833
American National Red Cross.,American National Red Cross,http://id.loc.gov/authorities/names/n79096723
Conference for Progressive Labor Action.,Conference for Progressive Labor Action,http://id.loc.gov/authorities/names/no2014013327
"Smith, Hinchman, and Grylls, inc.","Smith, Hinchman & Grylls Associates",http://id.loc.gov/authorities/names/n78054431
Michigan. Governor (1991-2003: Engler),Michigan. Governor (1991-2003 : Engler),http://id.loc.gov/authorities/names/n93010505
Battle Creek Sanitarium.,"Percy Jones General Hospital (Battle Creek, Mich.)",http://id.loc.gov/authorities/names/n99021411
Green Bay and Western Railroad Co.,Green Bay and Western Railroad Co.,http://id.loc.gov/authorities/names/n88658712
Federal Judicial Center.,Federal Judicial Center,http://id.loc.gov/authorities/names/n79076735
United States. Congress. House. Committee on Banking and Currency.,United States. Congress. House. Committee on Banking and Currency,http://id.loc.gov/authorities/names/n79049171
Houston   Texas Central Railway Company.,Houston & Texas Central Railway Company,http://id.loc.gov/authorities/names/n93036731
Pierre Fauchard Academy.,Pierre Fauchard Academy,http://id.loc.gov/authorities/names/n87857062
Cass Scenic Railroad.,Cass Scenic Railroad,http://id.loc.gov/authorities/names/n2009055800
Agency for Health Care Policy and Research.,United States. Agency for Healthcare Research and Quality,http://id.loc.gov/authorities/names/no00015616
National Archives (U.S.),United States. National Archives and Records Service,http://id.loc.gov/authorities/names/n79091762
State Psychopathic Hospital at the University of Michigan.,State Psychopathic Hospital at the University of Michigan,http://id.loc.gov/authorities/names/no95056998
Johns Hopkins University.,Johns Hopkins University,http://id.loc.gov/authorities/names/n79061226
Gunnar Birkerts   Associates.,Gunnar Birkerts & Associates,http://id.loc.gov/authorities/names/nr89014414
University of Michigan. Choral Union.,University of Michigan. Choral Union,http://id.loc.gov/authorities/names/no96013362
Packard Motor Car Company.,Packard Motor Car Company,http://id.loc.gov/authorities/names/n84123756
Michigan Audubon Society.,Michigan Audubon Society,http://id.loc.gov/authorities/names/n82047246
University of Michigan. Gilbert and Sullivan Society.,Friends of the University of Michigan Gilbert and Sullivan Society,http://id.loc.gov/authorities/names/no98102017
University of Michigan. Survey Research Center.,University of Michigan. Survey Research Center,http://id.loc.gov/authorities/names/n79106618
United States. War Dept.,United States. War Department,http://id.loc.gov/authorities/names/n79084108
Reproductive Biology Research Foundation (U.S.),Reproductive Biology Research Foundation (U.S.),http://id.loc.gov/authorities/names/n81042704
