"Hollister, Richard Dennis Teall, 1878-","Hollister, Richard Dennis Teall, 1878-",http://id.loc.gov/authorities/names/n94803148
"Wilson, Charles Erwin, 1890-1961.","Wilson, Charles Erwin, 1890-1961",http://id.loc.gov/authorities/names/n94079033
"Duryea, Charles E., 1861-1938.","Duryea, Charles E., 1861-1938",http://id.loc.gov/authorities/names/n85062659
"Friedman, Benjamin.","Friedman, Benjamin M.",http://id.loc.gov/authorities/names/n84014911
"Slichter, Sumner H. (Sumner Huber), 1892-1959.","Slichter, Sumner H. (Sumner Huber), 1892-1959",http://id.loc.gov/authorities/names/n81018387
"Johnson, Pyke.","Johnson, Pyke",http://id.loc.gov/authorities/names/n93092667
"Hill, Mary.","Arbuthnot, May Hill, 1884-1969",http://id.loc.gov/authorities/names/n79132029
"Lincoln, Joseph Newhall, 1892-1945.","Lincoln, Joseph Newhall, 1892-1945",http://id.loc.gov/authorities/names/nr93005046
"Van Houweling, Douglas E.","Van Houweling, Douglas E.",http://id.loc.gov/authorities/names/n93110219
"Korab, Balthazar.","Korab, Balthazar",http://id.loc.gov/authorities/names/n80028258
"Adler, Morris.","Adler, Morris",http://id.loc.gov/authorities/names/nr89010045
"Fulton, George A., 1948-","Fulton, George A., 1948-",http://id.loc.gov/authorities/names/n84041142
"Finley, John H. (John Huston), 1863-1940.","Finley, John H. (John Huston), 1863-1940",http://id.loc.gov/authorities/names/n88059291
"Merriman, Roger Bigelow, 1876-1945.","Merriman, Roger Bigelow, 1876-1945",http://id.loc.gov/authorities/names/no00069863
"Ferry, William Montague, 1824-1905.","Ferry, William Montague, 1824-1905",http://id.loc.gov/authorities/names/no2011131243
"Crapo, Henry Howland, 1804-1869.","Crapo, Henry Howland, 1804-1869",http://id.loc.gov/authorities/names/n88159838
"Carmichael, Leonard, 1898-","Carmichael, Leonard, 1898-1973",http://id.loc.gov/authorities/names/n50032465
"DeMille, Cecil B. (Cecil Blount), 1881-1959.","DeMille, Cecil B. (Cecil Blount), 1881-1959",http://id.loc.gov/authorities/names/n80073529
"Hawley, Joseph R. (Joseph Roswell), 1826-1905.","Hawley, Joseph R. (Joseph Roswell), 1826-1905",http://id.loc.gov/authorities/names/n85207700
"Ritchie, David George, 1853-1903.","Ritchie, David George, 1853-1903",http://id.loc.gov/authorities/names/n79141275
"Untermeyer, Louis, 1885-1977.","Frost, Robert, 1874-1963",http://id.loc.gov/authorities/names/n79005644
"Woodin, William H. (William Hartman), 1868-1934.","Woodin, William H. (William Hartman), 1868-1934",http://id.loc.gov/authorities/names/n85185303
"Brode, Wallace R. (Wallace Reed), 1900-","Brode, Wallace R. (Wallace Reed), 1900-1974",http://id.loc.gov/authorities/names/n86862037
"Altmeyer, Arthur Joseph, 1891-1972.","Altmeyer, Arthur J. (Arthur Joseph), 1891-1972",http://id.loc.gov/authorities/names/no95016988
"Pike, Zebulon Montgomery, 1779-1813.","Pike, Zebulon Montgomery, 1779-1813",http://id.loc.gov/authorities/names/n79022061
