Acme (Mich.),Acme Township (Mich.),http://id.loc.gov/authorities/names/n2008056740.html
Ada (Mich.),Ada Township (Mich.),http://id.loc.gov/authorities/names/no2011106215.html
Addison (Mich.),Addison Township (Mich.),http://id.loc.gov/authorities/names/n99264670.html
Adrian (Mich.),Adrian (Mich.),http://id.loc.gov/authorities/names/n83163898.html
Afghanistan,Afghanistan,http://id.loc.gov/authorities/names/n79063030.html
Africa,South Africa,http://id.loc.gov/authorities/names/n79023005.html
Agawa Canyon (Ont.),,
Ahmeek (Mich.),Ahmeek (Mich.),http://id.loc.gov/authorities/names/n81086182.html
Akron (Mich.),Akron (Mich.),http://id.loc.gov/authorities/names/n97101648.html
Alabama,Alabama,http://id.loc.gov/authorities/names/n79027034.html
Alabaster (Mich.),,
Alaska,Alaska,http://id.loc.gov/authorities/names/n79018447.html
Alba (Mich.),,
Albania,Albania,http://id.loc.gov/authorities/names/n83221467.html
Albert Lea (Minn.),Albert Lea (Minn.),http://id.loc.gov/authorities/names/n81038738.html
Alberta (Mich.),,
"Albion (Calhoun County, Mich.)","Albion (Calhoun County, Mich.)",http://id.loc.gov/authorities/names/n85046905.html
Albuquerque (N.M.),Albuquerque (N.M.),http://id.loc.gov/authorities/names/n79079329.html
Alcona (Mich.),Alcona County (Mich.),http://id.loc.gov/authorities/names/n80149764.html
Alcona County (Mich.),Alcona County (Mich.),http://id.loc.gov/authorities/names/n80149764.html
Alden (Mich.),Alden (Mich.),http://id.loc.gov/authorities/names/no2012078765.html
Aleutian Islands (Alaska),,
Alger County (Mich.),Alger County (Mich.),http://id.loc.gov/authorities/names/n83209799.html
Algiers (Algeria),Algeria,http://id.loc.gov/authorities/names/n79064760.html
Algonac (Mich.),Algonac (Mich.),http://id.loc.gov/authorities/names/n98032926.html
Alicia (Mich.),,
Allegan (Mich.),Allegan County (Mich.),http://id.loc.gov/authorities/names/n81050398.html
Allegan County (Mich.),Allegan County (Mich.),http://id.loc.gov/authorities/names/n81050398.html
Allegan State Game Area (Mich.),,
Allen (Mich.),Allen Park (Mich.),http://id.loc.gov/authorities/names/n84042313.html
Allen Park (Mich.),Allen Park (Mich.),http://id.loc.gov/authorities/names/n84042313.html
Allendale (Mich.),Allendale (Mich.),http://id.loc.gov/authorities/names/n91056698.html
Allentown (Mich.),,
Alleyton (Mich.),,
Alma (Mich.),Alma (Mich.),http://id.loc.gov/authorities/names/n82067491.html
Almont (Mich.),Almont (Mich.),http://id.loc.gov/authorities/names/n85149617.html
Aloha State Park (Mich.),,
Alpena (Mich.),Alpena County (Mich.),http://id.loc.gov/authorities/names/n83030499.html
Alpena County (Mich.),Alpena County (Mich.),http://id.loc.gov/authorities/names/n83030499.html
Amazon River,,
"Ambassador Bridge (Detroit, Mich. and Windsor, Ont.)",,
"Amenia Seminary (Dutchess County, N.Y.)",,
American Civil Liberties Union,,
Anchor Bay (Mich.),Anchor Bay (Mich.),http://id.loc.gov/authorities/names/n2005086631.html
Angola,Angola,http://id.loc.gov/authorities/names/n80046439.html
Ann Arbor (Mich. : Township),Ann Arbor Township (Mich.),http://id.loc.gov/authorities/names/n95065924.html
Ann Arbor (Mich.),Ann Arbor (Mich.),http://id.loc.gov/authorities/names/n79022219.html
"Ann Arbor Hills (Ann Arbor, Mich.)",,
"Ann Street (Ann Arbor, Mich.)",,
Annpere (Mich.),,
Antrim County (Mich.),Antrim County (Mich.),http://id.loc.gov/authorities/names/n80014843.html
"Arborcrest Cemetery (Ann Arbor, Mich.)",,
Arcadia (Mich.),,
"Arcadia Creek (Kalamazoo, Mich.)",,
Arctic regions,,
Arenac County (Mich.),Arenac County (Mich.),http://id.loc.gov/authorities/names/n81091920.html
Argentina,Argentina,http://id.loc.gov/authorities/names/n79070134.html
"Argo Dam (Ann Arbor, Mich.)",,
Arizona,Arizona,http://id.loc.gov/authorities/names/n79034873.html
Arkhangel'sk (Russia),,
"Arnold Lake (Clare County, Mich.)",,
Ashfield (Mass.),Ashfield (Mass.),http://id.loc.gov/authorities/names/n80139203.html
Ashland (Mich.),,
Ashley (Mich.),,
Asia,Turkey,http://id.loc.gov/authorities/names/n80070818.html
"Asia, Southeastern",,
Askel (Mich.),Askel (Mich.),http://id.loc.gov/authorities/names/n2007164222.html
Association Island (N.Y.),,
Athens (Mich.),Athens (Mich.),http://id.loc.gov/authorities/names/n98032524.html
Atlanta (Mich.),,
Atlas (Mich.),,
Au Sable (Mich.),Au Sable (Mich.),http://id.loc.gov/authorities/names/n83052260.html
Au Sable River (Mich.),,
Au Train (Mich.),,
Au Train River (Mich.),,
Auburn (Mich.),Auburn Hills (Mich.),http://id.loc.gov/authorities/names/n92038053.html
Augusta (Mich. : Township),,
Augusta (Mich.),"Fort Custer National Cemetery (Augusta, Mich.)",http://id.loc.gov/authorities/names/n2007064941.html
Aurora (Ill.),North Aurora (Ill.),http://id.loc.gov/authorities/names/no94006149.html
Australia,Australia,http://id.loc.gov/authorities/names/n79021326.html
Austria,Austria,http://id.loc.gov/authorities/names/n79040121.html
Bad Axe (Mich.),Bad Axe (Mich.),http://id.loc.gov/authorities/names/n82060963.html
Bad River (Wis.),,
Bakaritsa (Russia),,
Bald Mountain Recreation Area (Mich.),,
Baldwin (Mich.),Baldwin Ranger District (Mich.),http://id.loc.gov/authorities/names/no93027290.html
Baltimore (Md.),Baltimore (Md.),http://id.loc.gov/authorities/names/n79006530.html
Baltistan (Pakistan),Gilgit-Baltistān (Pakistan),http://id.loc.gov/authorities/names/n2011006453.html
Bangor (Mich.),"Bangor Township (Bay County, Mich.)",http://id.loc.gov/authorities/names/n88079887.html
Bannister (Mich.),,
Baraga (Mich.),Baraga County (Mich.),http://id.loc.gov/authorities/names/n81091922.html
Baraga County (Mich.),Baraga County (Mich.),http://id.loc.gov/authorities/names/n81091922.html
Baroda (Mich.),Baroda Township (Mich.),http://id.loc.gov/authorities/names/n83005698.html
Barron Lake (Mich.),,
Barry County (Mich.),"Maple Grove (Barry County, Mich. : Township)",http://id.loc.gov/authorities/names/no2009014030.html
"Barton Dam (Ann Arbor, Mich.)",,
Base Line Lake (Mich.),,
