series path,number of instances
series->subseries->file,153158
series->file,108824
series->file->file,99491
series->subseries->file->file,80801
subgrp->series->subseries->file->file,33863
series->file->file->file,28975
series->subseries->file->file->file,28238
subgrp->series->subseries->file,27319
series->subseries->otherlevel->file,25973
series->subseries->otherlevel->file->file,13297
subgrp->series->subseries->file->file->file,13204
subgrp->series->subseries->otherlevel->file->file,12984
subgrp->series->file->file,9679
series->file->item,9568
subgrp->series->subseries->otherlevel->file,9480
subgrp->series->file,8937
series->item,7432
series->subseries->item,5958
series->subseries->otherlevel->file->file->file,5611
series->file->file->file->file,5140
series->subseries->file->file->file->file,4634
series->subseries->otherlevel->otherlevel->file,4181
subgrp->series->file->file->file,3968
subgrp->series->subseries->otherlevel->file->file->file,3452
subgrp->series->subseries->file->file->file->file,3129
series->subseries->file->item,2586
series->otherlevel->otherlevel,1939
series->subseries->subseries->file,1759
series->series->subseries->file,1739
series->subseries->otherlevel->otherlevel,1579
series->subseries->item->file,1484
subgrp->series->subseries->item->otherlevel,1418
subgrp->series->file->file->file->file,1396
series->series->file,1319
series->subseries->item->file->file,1240
series->file->item->file->file,1183
series->series->otherlevel->file,1183
series->series->file->file,1078
series->subseries->otherlevel->file->item,1003
series->subseries->item->item,979
series->subseries->file->file->file->file->file,969
subgrp->series->otherlevel->file,957
series->file->file->item,830
series->subseries->file->file->item,802
series->subseries->subseries->file->file,770
series->file->file->file->file->file,710
series->series->file->file->file,690
series->otherlevel->item->otherlevel,666
subgrp->subseries->subseries->file,660
subgrp->series->subseries->file->file->file->file->file,636
otherlevel->series->subseries->file->file,635
series->subseries->otherlevel->file->file->file->file,627
series->subseries->otherlevel->otherlevel->file->file,620
series->subseries->otherlevel->item,617
otherlevel->series->subseries->file,545
subgrp->subseries->subseries->file->file,468
subgrp->series->subseries->otherlevel->otherlevel->file->file,448
subgrp->subseries->item->otherlevel,434
subgrp->series->file->otherlevel->file->file,418
subgrp->series->file->otherlevel->file,412
subgrp->series->otherlevel->file->file,405
series->item->file,395
series->file->item->file->file->file,386
series->file->item->file,369
otherlevel->series->subseries->file->file->file,306
series->series->otherlevel->file->file,300
subgrp->series->series->file->file,294
series->item->file->file,269
series->subseries->item->file->file->file,260
series->series->file->file->file->file,259
subseries->subseries->file,253
series->series->otherlevel->file->file->file,244
subgrp->series->series->file,234
series->file->file->file->item,222
subgrp->series->subseries->otherlevel->file->file->file->file,218
series->file->file->item->item,210
subgrp->series->file->file->file->file->file,186
series->file->item->file->item,178
subgrp->series->subseries->otherlevel->otherlevel->file,175
series->subseries->item->otherlevel,174
series->subseries->otherlevel->file->file->item,165
subgrp->series->item->file,165
otherlevel->series->file,163
series->subseries->subseries->file->file->file,153
subgrp->file->file->file,153
series->subseries->file->file->file->file->file->file,142
series->subseries->otherlevel->otherlevel->file->file->file,142
series->subseries->file->item->item,141
series->subseries->file->item->file,130
subgrp->file->file->file->file,124
series->subseries->otherlevel->otherlevel->file->item,122
subseries->subseries->file->file,117
subgrp->subseries->file->file->file,102
subgrp->series->subseries->file->None,94
series->subseries->item->file->item,90
subgrp->subseries->subseries->file->file->file,90
subgrp->series->series->file->item,89
series->item->otherlevel,82
subgrp->series->series->file->file->file,81
series->subseries->item->item->item,79
series->subseries->subseries->file->item,78
series->subseries->file->item->otherlevel,77
subgrp->series->file->otherlevel->file->file->file,76
series->file->item->item->item,74
series->otherlevel->file,73
file->file,72
series->subseries->otherlevel->file->item->file,68
series->series->item->file,67
series->item->file->file->file,64
series->subseries->None->item,64
series->file->otherlevel->file,62
subgrp->series->file->item,62
series->file->file->file->file->file->file,61
series->subseries->file->file->item->file,61
series->subseries->otherlevel->item->item,60
series->file->item->file->file->file->file,58
series->otherlevel->item,58
subgrp->subseries->otherlevel->file->file,58
subgrp->subseries->otherlevel->file->file->file,56
subgrp->subseries->subseries->file->file->file->file,55
series->file->file->file->file->item,52
series->series->item->file->file->file,51
series->file->item->otherlevel,48
series->subseries->otherlevel->file->file->file->file->file,46
subgrp->series->subseries,44
subgrp->series->item,43
otherlevel->series->subseries->file->file->file->file,42
subgrp->series->subseries->item,41
subgrp->file->file->file->file->file,39
otherlevel->series->file->file,38
series->series->item->file->file,37
series->subseries->otherlevel,37
series->file->file->item->file,35
series->file->subseries->file,35
series->item->file->file->file->file,33
series->item->item,33
series->subseries,33
series->subseries->series->file,33
series->subseries->otherlevel->otherlevel->file->file->file->file,32
subgrp->series->item->file->file,32
series->series->file->file->file->file->file,29
series->subseries->item->file->file->file->file,27
series->subseries->file->file->file->file->file->file->file,26
series->subseries->item->item->file,25
subseries->subseries->file->file->file,25
subgrp->series->series->item,24
subgrp->subseries->otherlevel->file->file->file->file,24
series->None,23
series->file->None,23
series->subseries->file->item->item->file,23
series->subseries->item->file->item->file,23
collection->file->file,22
series->item->file->item,22
subgrp->series->file->file->file->file->file->file,22
subgrp->series->otherlevel->file->file->file,21
series->subseries->otherlevel->fonds->file,20
subgrp->series->subseries->series->file,20
subgrp->series->subseries->file->file->None,18
series->file->otherlevel->file->file,17
series->subseries->item->item->file->file,17
subgrp->subseries->otherlevel->file,17
series->otherlevel->file->file,16
series->subseries->otherlevel->collection->file->file,16
series->subseries->otherlevel->item->file,16
subgrp->file->file,16
series,15
series->file->item->item,15
series->otherlevel->item->item,15
series->subseries->otherlevel->collection->file,15
series->subseries->file->item->file->file,13
series->subseries->otherlevel->item->file->file,13
subgrp->file->file->file->file->file->file,13
subgrp->series->file->file->item,13
series->file->file->file->file->file->item,12
series->item->item->file->file,12
series->subseries->file->None,12
series->subseries->otherlevel->item->otherlevel,12
subgrp->series->file->file->file->None,12
subgrp->series->subseries->item->file->file,12
subgrp->series->subseries->otherlevel->otherlevel->file->file->file,12
series->file->file->file->file->file->file->item,11
series->series->item,11
subgrp->series->subseries->file->file->file->file->file->file,11
subgrp->series->subseries->file->item,11
collection->file,10
series->file->file->file->item->file,10
series->file->item->item->file,10
series->subseries->None,10
subgrp->series->file->file->otherlevel->file,10
subgrp->subseries->file->file,10
None->subseries->file,9
otherlevel->series->file->otherlevel,9
series->item->item->file,9
series->series->file->file->file->file->file->file,9
series->subseries->item->item->otherlevel,9
subgrp->series->item->file->file->file,9
subgrp->series->series->file->item->file,9
series->file->file->file->file->file->file->file,8
subgrp->file,8
subgrp->series->subseries->otherlevel->file->file->file->file->file,8
collection->item,7
series->subseries->otherlevel->fonds->file->file,7
subgrp->series->series->file->file->file->file,7
series->None->file,6
series->file->file->None,6
series->subseries->item->file->file->item,6
subgrp->series->subseries->None,6
subgrp->subseries->file->item->otherlevel,6
None->None,5
None->file->file,5
series->subseries->otherlevel->file->item->file->file,5
otherlevel->series->file->file->file,4
series->subseries->otherlevel->file->file->file->item,4
subgrp->series->subseries->file->file->item,4
subgrp->series->subseries->item->file,4
None->file,3
otherlevel->series->item->otherlevel,3
otherlevel->series->otherlevel->otherlevel,3
series->file->file->item->item->file,3
series->file->otherlevel,3
series->series->subseries->file->file,3
series->subseries->file->otherlevel->file,3
series->subseries->item->file->file->file->file->file,3
series->subseries->otherlevel->file->None,3
series->subseries->otherlevel->item->item->file,3
series->subseries->otherlevel->item->item->file->file,3
series->subseries->subseries,3
subgrp->series->file->item->file,3
subgrp->subseries->file,3
None,2
series->series->file->None,2
series->subseries->None->file,2
series->subseries->file->file->None,2
series->subseries->file->file->file->None,2
series->subseries->item->item->item->file,2
series->subseries->otherlevel->file->file->item->file,2
series->subseries->otherlevel->otherlevel->otherlevel,2
subgrp->None,2
subgrp->None->None,2
subgrp->series->subseries->None->file,2
subgrp->series->subseries->otherlevel,2
subgrp->series->subseries->subseries,2
None->item,1
file,1
item,1
series->None->None,1
series->file->file->otherlevel,1
series->series->otherlevel->item,1
series->subseries->otherlevel->None,1
series->subseries->subseries->item,1
subgrp->series,1
subgrp->series->None,1
subgrp->series->otherlevel,1
subgrp->series->series->item->file,1
subgrp->series->series->item->item,1
