ht identifier,rights,oclc numbers,source institution record number,title,enumeration/chronology,publication date
mdp.39015046385129,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015015274544,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015003741033,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015059955537,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015031345047,ic,118211,000001663,"Indian trade unions; structure and function, by Fred C. Munson.",,1970
mdp.39015013250538,ic,121677,000001725,International airlines and politics; a study in adaptation to change [by] Robert L. Thornton.,no.13,1970
uc1.b4401867,ic,137471,b168117721,State development agencies and employment expansion [by] Alfred S. Eichner. Foreword by Eli Ginzberg.,,1970
mdp.39015030794393,ic,138719,000002030,New imperatives for today's policy makers [by] H. Bruce Palmer.,,1970
mdp.39015002878034,ic,158958,000002398,Retrofitting machine tools; converting conventional machine tools to numerical control [by] James M. Hardy.,,1967
mdp.39015003403162,ic,158958,000002398,Retrofitting machine tools; converting conventional machine tools to numerical control [by] James M. Hardy.,,1967
mdp.39015023464624,ic,158958,000002398,Retrofitting machine tools; converting conventional machine tools to numerical control [by] James M. Hardy.,cop.2,1967
mdp.39015027423154,ic,164995,000002497,Economic priorities in the 1970s [by] Paul W. McCracken.,,1970
mdp.39015021354074,ic,179724,000002663,"The Chinese economy, ca. 1870-1911.",,1969
mdp.39015008098793,ic,179724,000002663,"The Chinese economy, ca. 1870-1911.",,1969
mdp.39015008793690,ic,179724,000002663,"The Chinese economy, ca. 1870-1911.",no.5,1969
mdp.39015007547865,ic,189340,000002766,"The myth of the ruling class : Gaetano Mosca and the ""elite"" ; with the first English translation of the final version of The theory of the ruling class. Foreword, 1962.",,1962
mdp.39015046354265,ic,189340,000002766,"The myth of the ruling class : Gaetano Mosca and the ""elite"" ; with the first English translation of the final version of The theory of the ruling class. Foreword, 1962.",,1962
mdp.39015019387102,und,191298,000002779,"Chinese paintings in Chinese publications, 1956-1968 : an annotated bibliography and an index to the paintings / by E. J. Laing.",,1969
mdp.39015022795275,und,191298,000002779,"Chinese paintings in Chinese publications, 1956-1968 : an annotated bibliography and an index to the paintings / by E. J. Laing.",,1969
mdp.39015051304940,ic-world,209509,000003045,White attitudes toward black people.,,1971
