num_of_items,oclc identifier,source institution identifier,source,title,imprint,copyright statuses of publications in series,publication date range,enumerations,earliest publication,latest publication,all publication dates
1,338336,001111462,mdp,A dictionary of the proverbs in England in the sixteenth and seventeenth centuries : a collection of the proverbs found in English literature and the dictionaries of the period /.,"University of Michigan Press, 1950.",cc-by-nc-3.0,,,1950,1950,
1,54913803,004923409,mdp,Jerusalem besieged : from ancient Canaan to modern Israel / Eric H. Cline.,"University of Michigan Press, c2004.",ic-world,,,2004,2004,
1,1937518,000694972,mdp,Art faculty '75 : an exhibition of works by the Art Faculty of the University of Michigan.,"The University of Michigan Museum of Art, 1975.",ic,,,1975,1975,
1,local (non-oclc): 005299525,005299525,mdp,The balance of payments and domestic prosperity [by] Paul W. McCracken and Emile Benoit.,"Bureau of Business Research, Graduate School of Business Administration, University of Michigan, [1963]",und,,,1963,1963,
1,50417490,004322689,mdp,"Skin deep, spirit strong : the Black female body in American culture / Kimberly Wallace-Sanders, editor.","University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,11545,b168326036,uc1,"Equal apprenticeship opportunities; the nature of the issue and the New York experience [by] F. Ray Marshall [and] Vernon M. Briggs, Jr.","Institute of Labor and Industrial Relations, University of Michigan-Wayne State University, 1968.",ic,,,1968,1968,
28,1979208,000677275,mdp,Michigan Slavic materials.,"Dept. of Slavic Languages and Literatures, University of Michigan [1962-","ic, und, and pd",1962-2006,,1962,2006,
1,10727288,000328273,mdp,Platonic scripts / Donald Justice.,"University of Michigan Press, c1984.",ic,,,1984,1984,
1,4271670,000217653,mdp,Consistent aggregation of family and hired labor in agricultural production functions / H. N. Barnum and L. Squire.,"Center for Research on Economic Development, University of Michigan, 1978.",ic,,,1978,1978,
1,4956995,004514690,mdp,"The vegetational history of the Oaxaca Valley / by C. Earle Smith, Jr. Zapotec plant knowledge : classification, uses, and communication about plants in Mitla, Oaxaca, Mexico / by Ellen Messer.","Museum of Anthropology, University of Michigan, 1978.",ic,,,1978,1978,
1,37109126,003291745,mdp,The governor as party leader : campaigning and governing / Sarah McCally Morehouse.,"University of Michigan Press, c1998.",ic,,,1998,1998,
1,1591976,.b16113299,uc1,"Jean Domenique Cassini and his world map of 1696,","University of Michigan press, 1941.",pd,,,1941,1941,
1,38519160,003307162,mdp,"The courts of international trade : judicial specialization, expertise, and bureaucratic policy-making / Isaac Unah.","University of Michigan Press, c1998.",ic,,,1998,1998,
1,31726246,002904384,mdp,Application of solid-state sensor technology in brain research.,"The University of Michigan, Continuing Engineering Education,",ic,,,1991,1991,
1,7320054,000142613,mdp,Preretirement education leader's manual / Woodrow W. Hunter.,"Institute of Gerontology, University of Michigan, c1980.",ic,,,1980,1980,
1,793581617,012317320,mdp,The sea : thalassography and historiography / edited by Peter N. Miller.,"The University of Michigan Press, 2013.",cc-by-nc-nd-3.0,,,2013,2013,
1,19980983,001843842,mdp,Curiosities / William Matthews.,"University of Michigan Press, c1989.",ic,,,1989,1989,
24,1623560,GLAD33615967-S,uc1,The Journal of conflict resolution.,"Dept. of Journalism, University of Michigan, c1957-",ic,1957-1981,1-20 and 23-25,1957,1981,
1,7046570,003316175,mdp,"Principles of economics, by F. M. Taylor, PH.D.","University of Michigan, 1916.",pd,,,1916,1916,
1,8749401,001192643,mdp,General constitutional revision in the States;,"Bureau of Govt., University of Michigan, 1948.",pd,,,1948,1948,
1,11636743,001550913,mdp,"Never say never : fiction, poetry, essays, recollections / by members of Turner writing groups ; edited by Ruth Campbell ; introductions by Ruth Campbell and Claudia Kraus.","Turner Geriatric Services, University of Michigan Hospitals, 1984.",ic,,,1984,1984,
1,26711072,404460,inu,The Slavic syntax newsletter.,"Michigan Slavic Publications, University of Michigan, 1991-",ic,,2,1994,1994,
1,50266429,a2320917,pst,Beyond the boundaries: American alternative theatre / Theodore Shank.,"University of Michigan Press, c2002.",ic,,,2002,2002,
1,5084027,001489329,mdp,Cryptostomatous bryozoa from the Middle Devonian Traverse group of Michigan / by Andrew H. McNair.,"University of Michigan, 1937.",und,,,1937,1937,
1,63390598,005266990,mdp,The stuff of fiction : advice on craft / Douglas Bauer.,"University of Michigan Press, c2006.",ic-world,,,2006,2006,
1,63517118,005117043,mdp,Carillon music from Brussels and Ghent : seventeen pieces from the seventeenth century / edited by Margo Halsted and Joseph Daniel ; with commentary by Ruth van Baak Griffioen.,"University of Michigan, 2003?]",ic,,,2003,2003,
1,1143519,001180094,mdp,"A check list of periodical literature and publications of learned societies of interest to zoologists in the University of Michigan libraries, by F.P. Allen.","University of Michigan press, 1935.",pd,,,1935,1935,
1,184760631,001728616,mdp,"Proza, 1915-1958 : povesti, rasskazy, avtobiograficheskie proizvedenii͡a / Boris Pasternak ; pod redat͡sieĭ G.P. Struve i B.A. Filippova ; vstupitelʹnai͡a statʹi͡a Vladimira Veĭdle.","University of Michigan Press, c1961.",und,,,1961,1961,
1,17301202,000845264,mdp,"Fee-based services : issues & answers : Second Conference on Fee-Based Research in College and University Libraries : proceedings of the meetings held at the University of Michigan, Ann Arbor, Michigan, May 10-12, 1987 / compiled by Anne K. Beaubien ; sponsored by Michigan Information Transfer Source (MITS), the University of Michigan Libraries, Ann Arbor.","Michigan Information Transfer Source, University of Michigan, c1987.",ic,,,1987,1987,
1,7571989,223449,inu,The gladiator frogs of Middle America and Colombia : a reevaluation of their systematics (Anura:Hylidae) / by Arnold G. Kluge.,"[Museum of Zoology, University of Michigan],  1979.",ic,,,1979,1979,
1,3167947,000293457,mdp,Walking down the stairs : selections from interviews / Galway Kinnell.,"University of Michigan Press, c1978.",ic,,,1978,1978,
1,6881214,1749600,inu,Sexual harassment in the workplace / prepared by Patricia Stover and Yvonne Gillies.,"Program on Women and Work, Institute of Labor and Industrial Relations, University of Michigan/Wayne State University, [1979?]",ic,,,1979,1979,
1,32232748,.b3218718x,uc1,A new Latin American and Caribbean nationalism / Isaac Cohen,"University of Michigan, Law School, Dept. of Economics, 1992?]",ic,,,1992,1992,
1,18715856,001088261,mdp,The Supreme Court and judicial choice : the role of provisional review in a democracy / Paul R. Dimond.,"University of Michigan Press, 1989.",ic,,,1989,1989,
1,32232740,.b32187014,uc1,Expanding the North American Free Trade Agreement / John Whalley,"University of Michigan, Law School, Dept. of Economics, 1992?]",ic,,,1992,1992,
1,48642696,004288559,mdp,High-intensity participation : the dynamics of party activism in Britain / Paul F. Whiteley and Patrick Seyd.,"The University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,48970850,004091002,mdp,"Alternative uses for Wolverine Tube and Beard/Chatfield brownfield sites / prepared by: Ann Brooks ... [et al] ; Urban Planning 634, Winter 2000, Margaret Dewar, Professor ; Urban and Regional Planning, University of Michigan.","University of Michigan, 2000]",ic,,,2000,2000,
1,23319832,001367998,mdp,A reader of Pashto.,University of Michigan Press [1965],ic,,,1965,1965,
1,3074399,002892983,mdp,The Boston Tea Party : catalyst for revolution : an exhibition commemorating the 200th anniversary / by Arlene Phillips Kleeb.,"William L. Clements Library, University of Michigan, 1973.",pdus,,,1973,1973,
1,14664806,000581271,mdp,"The prediction of performance in clinical psychology, by E. Lowell Kelly and Donald W. Fiske.","University of Michigan Press, 1951.",pd,,,1951,1951,
1,23309045,000102311,mdp,Vocational rehabilitation standards : analysis of fiscal year 1979 data : national.,"Rehabilitation Research Institute, School of Education, University of Michigan, [1981]",ic,,,1981,1981,
1,20503380,000955710,mdp,Lectures on the law and labor-management relations.,"University of Michigan law School, 1951.",und,,,1951,1951,
1,11844882,a314987,pst,"Collection Assessment Task Force report : task force members, Maurita Holland ... [et al.].","The University of Michigan Library], 1983.",ic,,,1983,1983,
1,32698046,003090127,mdp,"Medical malpractice and the American jury : confronting the myths about jury incompetence, deep pockets, and outrageous damage awards / Neil Vidmar.","University of Michigan Press, c1996.",ic and ic-world,,,1996,1996,
1,49225821,004288142,mdp,"A world transformed : the politics of culture in revolutionary Vietnam, 1945-1965 / Kim N.B. Ninh.","University of Michigan Press, 2002.",ic-world,,,2002,2002,
1,71812900,005956896,mdp,"Powerful learning : Buddhist literati and the throne in Burma's last dynasty, 1752-1885 / Michael W. Charney.","Centers for South and Southeast Asian Studies, University of Michigan, c2006.",ic,,,2006,2006,
1,local (non-oclc): 005422755,005422755,mdp,Urban region park use and the elderly.,"University of Michigan, School of Natural Resources, Natural Resource Sociology Research Lab, 1991.",ic,,,1991,1991,
3,2052558,001464028,mdp,An intensive course in English.,"University of Michigan Press, [1958-59, c1954-58]",pd,,1-3,1959,1959,
