original name,title,primary_name,rest_of_name,suffix,fuller_form,numbers,dates,birth date,death date,auth link,source
"Curtis-Smith, C. (Curtis), 1941-2014",,Curtis-Smith,C.,,Curtis,,1941-2014,1941,2014,http://id.loc.gov/authorities/names/n84183730,lcnaf
"Fischer, Kenneth M.",,Fischer,Kenneth M,,,,,,,,lcnaf
"Hill, Mary.",,Hill,Mary,,,,,,,,lcnaf
"Van Houweling, Douglas E.",,Van Houweling,Douglas E,,,,,,,http://id.loc.gov/authorities/names/n93110219,lcnaf
"Bashert, Beth.",,Bashert,Beth,,,,,,,,lcnaf
"Brashares, Charles W., 1891-1982.",,Brashares,Charles W.,,,,1891-1982,1891,1982,,lcnaf
"Merriman, Roger Bigelow, 1876-1945.",,Merriman,Roger Bigelow,,,,1876-1945,1876,1945,http://id.loc.gov/authorities/names/no00069863,lcnaf
"Ferry, William Montague, 1824-1905.",,Ferry,William Montague,,,,1824-1905,1824,1905,http://id.loc.gov/authorities/names/no2011131243,lcnaf
"Chipman, Hope, 1900-1982.",,Chipman,Hope,,,,1900-1982,1900,1982,,lcnaf
"Bezner, Frederick O.",,Bezner,Frederick O,,,,,,,,lcnaf
"Roper, Richard F.",,Roper,Richard F,,,,,,,,lcnaf
"Kaplan, Wilfred, 1915-",,Kaplan,Wilfred,,,,b. 1915,1915,,http://id.loc.gov/authorities/names/n50044993,lcnaf
"Heath, Ivon D.",,Heath,Ivon D,,,,,,,,lcnaf
"Woodin, William H. (William Hartman), 1868-1934.",,Woodin,William H.,,William Hartman,,1868-1934,1868,1934,http://id.loc.gov/authorities/names/n85185303,lcnaf
"Joiner, Charles Wycliffe, 1916-",,Joiner,Charles Wycliffe,,,,b. 1916,1916,,http://id.loc.gov/authorities/names/no97025557,lcnaf
"Pike, Zebulon Montgomery, 1779-1813.",,Pike,Zebulon Montgomery,,,,1779-1813,1779,1813,http://id.loc.gov/authorities/names/n79022061,lcnaf
"Kilpatrick, Kwame M., 1970-",,Kilpatrick,Kwame M.,,,,b. 1970,1970,,http://id.loc.gov/authorities/names/no2002023847,lcnaf
"Achilles, Theodore C. (Theodore Carter), 1905-1986",,Achilles,Theodore C.,,Theodore Carter,,1905-1986,1905,1986,http://id.loc.gov/authorities/names/n90647223,lcnaf
"Graff, Otto G.",,Graff,Otto G,,,,,,,,lcnaf
"Johnson, Robert Underwood, 1853-1937.",,Johnson,Robert Underwood,,,,1853-1937,1853,1937,http://id.loc.gov/authorities/names/n86025566,lcnaf
"Herdman, William James, 1848-1906.",,Herdman,William James,,,,1848-1906,1848,1906,http://id.loc.gov/authorities/names/n2012186684,lcnaf
"Sanger, Margaret, 1879-1966.",,Sanger,Margaret,,,,1879-1966,1879,1966,http://id.loc.gov/authorities/names/n50019793,lcnaf
"Mack, Connie, 1862-1956.",,Mack,Connie,,,,1862-1956,1862,1956,http://id.loc.gov/authorities/names/n80001152,lcnaf
"Cobb, Henry Ives, 1859-1931.",,Cobb,Henry Ives,,,,1859-1931,1859,1931,http://id.loc.gov/authorities/names/nr2002036607,lcnaf
"Young, Stephen M. (Stephen Marvin), 1889-1984.",,Young,Stephen M.,,Stephen Marvin,,1889-1984,1889,1984,http://id.loc.gov/authorities/names/n93021506,lcnaf
"Jewell, William Franklin.",,Jewell,William Franklin,,,,,,,,lcnaf
"Miller, Guy Alonzo, 1875-",,Miller,Guy Alonzo,,,,b. 1875,1875,,,lcnaf
"Hale, Eugene, 1836-1918.",,Hale,Eugene,,,,1836-1918,1836,1918,http://id.loc.gov/authorities/names/no95060659,lcnaf
"De Kruif, Paul, 1890-1971.",,De Kruif,Paul,,,,1890-1971,1890,1971,http://id.loc.gov/authorities/names/n79079611,lcnaf
"Bigelow, Poultney, b.1855.",,Bigelow,Poultney,,,,b. 1855,1855,,,lcnaf
"Saint Lusson, Simon François Daumont, sieur de, fl. 17th cent.",,Saint Lusson,Simon François Daumont,sieur de,,,fl. 17th cent,,,,lcnaf
"Beadle, Frank D., 1899-",,Beadle,Frank D.,,,,b. 1899,1899,,,lcnaf
"Foster, John Watson, 1836-1917.",,Foster,John Watson,,,,1836-1917,1836,1917,http://id.loc.gov/authorities/names/n80065967,lcnaf
"Clippert, George H.",,Clippert,George H,,,,,,,http://id.loc.gov/authorities/names/n97038331,lcnaf
"Ballard, Florence, 1943-1976.",,Ballard,Florence,,,,1943-1976,1943,1976,http://id.loc.gov/authorities/names/n2007055922,lcnaf
"Douglass, Benjamin.",,Douglass,Benjamin,,,,,,,,lcnaf
"Griswold, George R., d. 1857.",,Griswold,George R.,,,,d. 1857,,1857,,lcnaf
"Javitz, Jacob K. (Jacob Koppel), 1904-",,Javitz,Jacob K.,,Jacob Koppel,,b. 1904,1904,,,lcnaf
"Slayton, Helen Elizabeth.",,Slayton,Helen Elizabeth,,,,,,,,lcnaf
"Angell, Avery Aldrich, 1807-1894.",,Angell,Avery Aldrich,,,,1807-1894,1807,1894,,lcnaf
"Rosencrans, William Starke, 1819-1898.",,Rosencrans,William Starke,,,,1819-1898,1819,1898,,lcnaf
"Price, Derek J. de Solla (Derek John de Solla), 1922-1983.",,Price,Derek J. de Solla,,Derek John de Solla,,1922-1983,1922,1983,http://id.loc.gov/authorities/names/n50027474,lcnaf
"Moody, Christella D. Personal journey through South Africa. 1991.",,Moody,Christella D.,,,,,,,,lcnaf
"Behnke, Larry, 1948-",,Behnke,Larry,,,,b. 1948,1948,,,lcnaf
"Angell, William Robert, 1877-1950.",,Angell,William Robert,,,,1877-1950,1877,1950,,lcnaf
"Langley, John Williams, 1841-1918.",,Langley,John Williams,,,,1841-1918,1841,1918,,lcnaf
"Bonner, Campbell, b. 1876.",,Bonner,Campbell,,,,b. 1876,1876,,http://id.loc.gov/authorities/names/no92004670,lcnaf
"Wilson, Nel.",,Wilson,Nel,,,,,,,,lcnaf
"Flynn, Felix H. H., 1881-",,Flynn,Felix H. H.,,,,b. 1881,1881,,,lcnaf
"Hodges, Fred Jenner, 1895-",,Hodges,Fred Jenner,,,,b. 1895,1895,,http://id.loc.gov/authorities/names/n87859448,lcnaf
"Clardy, Kit Francis, 1892-",,Clardy,Kit Francis,,,,b. 1892,1892,,,lcnaf
"Goodrich, Francis Lee Dewey, 1877-1962.",,Goodrich,Francis Lee Dewey,,,,1877-1962,1877,1962,http://id.loc.gov/authorities/names/no2001004601,lcnaf
"Dawes, Charles Gates, 1865-1951.",,Dawes,Charles Gates,,,,1865-1951,1865,1951,http://id.loc.gov/authorities/names/n79032944,lcnaf
"Sleeper, Albert E., 1862-1934.",,Sleeper,Albert E.,,,,1862-1934,1862,1934,http://id.loc.gov/authorities/names/no2008187860,lcnaf
"Smith, Goff.",,Smith,Goff,,,,,,,,lcnaf
"Brandt, Richard B.",,Brandt,Richard B,,,,,,,http://id.loc.gov/authorities/names/n50043215,lcnaf
"Scott, Georgia Jackson.",,Scott,Georgia Jackson,,,,,,,,lcnaf
"Marsh, Pliny W., 1876-",,Marsh,Pliny W.,,,,b. 1876,1876,,,lcnaf
"Allmendinger, Helen Sophie, 1878-1973.",,Allmendinger,Helen Sophie,,,,1878-1973,1878,1973,,lcnaf
"Meyer, Eugene, 1875-1959.",,Meyer,Eugene,,,,1875-1959,1875,1959,http://id.loc.gov/authorities/names/n86025876,lcnaf
"Sapir, Edward, 1884-1939.",,Sapir,Edward,,,,1884-1939,1884,1939,http://id.loc.gov/authorities/names/n50017361,lcnaf
"Palmer, Fred E.",,Palmer,Fred E,,,,,,,,lcnaf
"Eddy, Gerald E. (Gerald Ernest), 1907-1977",,Eddy,Gerald E.,,Gerald Ernest,,1907-1977,1907,1977,http://id.loc.gov/authorities/names/n90622213,lcnaf
"Paulding, James K., 1779-1860.",,Paulding,James K.,,,,1779-1860,1779,1860,,lcnaf
"Bowles, George Edward, 1915-",,Bowles,George Edward,,,,b. 1915,1915,,,lcnaf
"Anderson, Jack, 1922-2005",,Anderson,Jack,,,,1922-2005,1922,2005,http://id.loc.gov/authorities/names/n79084441,lcnaf
"Billeau, Ewald H., 1890-",,Billeau,Ewald H.,,,,b. 1890,1890,,,lcnaf
"Jones, Bob, 1911-1997",,Jones,Bob,,,,1911-1997,1911,1997,http://id.loc.gov/authorities/names/n83060778,lcnaf
"House, Edward Mandell, 1858-1938.",,House,Edward Mandell,,,,1858-1938,1858,1938,http://id.loc.gov/authorities/names/n80015582,lcnaf
"Burke, Thomas A., 1898-1971.",,Burke,Thomas A.,,,,1898-1971,1898,1971,http://id.loc.gov/authorities/names/n2001064491,lcnaf
"Norman, A. G. (Arthur Geoffrey), 1905-1982",,Norman,A. G.,,Arthur Geoffrey,,1905-1982,1905,1982,http://id.loc.gov/authorities/names/no2010133617,lcnaf
"Price, Percival, 1901-1985",,Price,Percival,,,,1901-1985,1901,1985,http://id.loc.gov/authorities/names/n84189676,lcnaf
"Smith, Harold J.",,Smith,Harold J,,,,,,,,lcnaf
"Russell, Carl A.",,Russell,Carl A,,,,,,,,lcnaf
"Beard, Daniel Carter, 1850-1941.",,Beard,Daniel Carter,,,,1850-1941,1850,1941,http://id.loc.gov/authorities/names/n50081691,lcnaf
"Potter, Louise, 1895-",,Potter,Louise,,,,b. 1895,1895,,http://id.loc.gov/authorities/names/n79089751,lcnaf
"Wilcox, Orland B.",,Wilcox,Orland B,,,,,,,,lcnaf
"Booth, George G. (George Gough), b. 1864.",,Booth,George G.,,George Gough,,b. 1864,1864,,,lcnaf
"Foster, Theodore George, 1888-1960.",,Foster,Theodore George,,,,1888-1960,1888,1960,,lcnaf
"Honey, Edward M.",,Honey,Edward M,,,,,,,,lcnaf
"Walker, George D., 1820-1863.",,Walker,George D.,,,,1820-1863,1820,1863,,lcnaf
"Kiel, Frank Burdette.",,Kiel,Frank Burdette,,,,,,,,lcnaf
"Andrews, Ernest Oliver.",,Andrews,Ernest Oliver,,,,,,,,lcnaf
"Harris, Frederick Brown.",,Harris,Frederick Brown,,,,,,,,lcnaf
"Archer, Dennis.",,Archer,Dennis,,,,,,,,lcnaf
"Wheat, Renville.",,Wheat,Renville,,,,,,,,lcnaf
"Bachmann, Werner Emmanuel, 1901-",,Bachmann,Werner Emmanuel,,,,b. 1901,1901,,,lcnaf
"Lyon, Lucius, 1800-1851.",,Lyon,Lucius,,,,1800-1851,1800,1851,http://id.loc.gov/authorities/names/n91111209,lcnaf
"Bredig, Georg, b. 1868.",,Bredig,Georg,,,,b. 1868,1868,,,lcnaf
"Christman, Adam Arthur, 1896---Department of Biological Chemistry, 1922-1955--1978.",,Christman,Adam Arthur,,,,b. 1896,1896,,,lcnaf
"Wilson, Woodrow, 1856-1924.",,Wilson,Woodrow,,,,1856-1924,1856,1924,http://id.loc.gov/authorities/names/n79046299,lcnaf
"Welsh, George Wilson, 1883-1974.",,Welsh,George Wilson,,,,1883-1974,1883,1974,,lcnaf
"Mandel, William M.",,Mandel,William M,,,,,,,http://id.loc.gov/authorities/names/n84127876,lcnaf
"Christensen, A. Kent.",,Christensen,A. Kent,,,,,,,,lcnaf
"Thomas, Emma Mattoon.",,Thomas,Emma Mattoon,,,,,,,,lcnaf
"Behner, Frederick G., 1874-1968.",,Behner,Frederick G.,,,,1874-1968,1874,1968,,lcnaf
"Brooks, Paul.",,Brooks,Paul,,,,,,,,lcnaf
"Sandalow, Terrance, 1934-",,Sandalow,Terrance,,,,b. 1934,1934,,http://id.loc.gov/authorities/names/n82153768,lcnaf
"Brown, Philip Marshall, 1875-1966",,Brown,Philip Marshall,,,,1875-1966,1875,1966,http://id.loc.gov/authorities/names/n86013648,lcnaf
