Type,Type to normalize to,Physfacet
articles,articles,
artifact,artifacts,
artifacts,artifacts,
mini cassettes,audiocassetes,mini cassettes
audio cassette,audiocassettes,
audio cassette tape,audiocassettes,
audio cassette tapes,audiocassettes,
audio cassettes,audiocassettes,
audio tape,audiocassettes,
audio tapes,audiocassettes,
audio-cassette,audiocassettes,
audio-cassettes,audiocassettes,
audiocassette,audiocassettes,
audiocassette tape,audiocassettes,
audiocassette tapes,audiocassettes,
audiocassettes,audiocassettes,
cassete tapes,audiocassettes,
cassette,audiocassettes,
cassette,audiocassettes,
cassette sound recordings,audiocassettes,
cassette tape,audiocassettes,
cassette tapes,audiocassettes,
cassettes,audiocassettes,
cassettes folders,audiocassettes,
DAT,audiocassettes,digital audio tapes
DATs,audiocassettes,digital audio tapes
microcassette,audiocassettes,microcassettes
microcassette tapes,audiocassettes,microcassettes
microcassettes,audiocassettes,microcassettes
minute cassette tape,audiocassettes,
minute cassette tapes,audiocassettes,
minute cassettes,audiocassettes,
sixty-minute cassette tapes,audiocassettes,
sound cassette,audiocassettes,
sound cassette tapes,audiocassettes,
sound cassettes,audiocassettes,
audio tape reel,audiotapes,reel-to-reel tapes
audio tape reels,audiotapes,reel-to-reel tapes
audiotape,audiotapes,
audiotapes,audiotapes,
reel to reel tapes,audiotapes,reel-to-reel tapes
reel-to-reel,audiotapes,reel-to-reel tapes
reel-to-reel audio recordings,audiotapes,reel-to-reel tapes
reel-to-reel audio tapes,audiotapes,reel-to-reel tapes
reel-to-reel tape,audiotapes,reel-to-reel tapes
reel-to-reel tapes,audiotapes,reel-to-reel tapes
reel-to-reels,audiotapes,reel-to-reel tapes
sound tape reel,audiotapes,reel-to-reel tapes
sound tape reels,audiotapes,reel-to-reel tapes
sound tapes,audiotapes,
blueprint,blueprints,
blueprints,blueprints,
blueprints with pastel,blueprints,blueprints with pastel
elevations,blueprints,
elevations. Blueprints,blueprints,
floor plan,blueprints,
rolled set of blueprints,blueprints,
sets of blueprints,blueprints,
sheet : blueprint on paper ; or smaller,blueprints,blueprint on paper ; or smaller
boards,boards,
presentation boards,boards,
box,boxes,
box of audiotapes,boxes,contains audiotapes
box of contact sheets,boxes,contains contact sheets
boxes,boxes,
boxes and oversize items,boxes,
card boxes,boxes,
card file box,boxes,
"card file boxes, binder",boxes,
