A. Alfred Taubman College of Architecture and Urban Planning.,University of Michigan. College of Architecture and Urban Planning,http://id.loc.gov/authorities/names/n82166292
AFL-CIO.,American Federation of Labor,http://id.loc.gov/authorities/names/n79091711
Adult Education Association.,Deutscher Volkshochschulverband,http://id.loc.gov/authorities/names/n50062873
Agency for Health Care Policy and Research.,United States. Agency for Healthcare Research and Quality,http://id.loc.gov/authorities/names/no00015616
Alliance College.,Alliance israélite universelle. Collège des études juives,http://id.loc.gov/authorities/names/n2003083822
America First Party.,Communist Party of the United States of America (Calif.). First C.D.,http://id.loc.gov/authorities/names/no2011101943
American Anti-Boycott Association.,"League for Industrial Rights (New York, N.Y.)",http://id.loc.gov/authorities/names/no91010893
American Association for a Democratic Germany.,American Friends of German Freedom,http://id.loc.gov/authorities/names/n84209382
American Association of Collegiate Schools of Business.,American Assembly of Collegiate Schools of Business,http://id.loc.gov/authorities/names/n50064242
American Association of Women Ministers.,International Association of Women Ministers,http://id.loc.gov/authorities/names/no97014054
American Birth Control League.,Planned Parenthood Federation of America,http://id.loc.gov/authorities/names/n50075375
American Civic Association.,National Conference on City Planning,http://id.loc.gov/authorities/names/n50065474
American Engineering Council.,Technical Council on Cold Regions Engineering,http://id.loc.gov/authorities/names/n81120045
American Family Association.,American Bar Association. Section of Family Law,http://id.loc.gov/authorities/names/n79107806
American Football League.,National Football League,http://id.loc.gov/authorities/names/n80098551
American Fur Company.,Firaxis Games (Firm),http://id.loc.gov/authorities/names/n99269913
American Indian Defense Association.,Association on American Indian Affairs,http://id.loc.gov/authorities/names/n81086457
American Institute of Electrical Engineers.,Institute of Electrical and Electronics Engineers,http://id.loc.gov/authorities/names/n79053217
American Jewish Congress.,Institute of Jewish Affairs,http://id.loc.gov/authorities/names/n80083428
American Party.,Communist Party of the United States of America,http://id.loc.gov/authorities/names/n79036120
American Protective Tariff League.,American Tariff League,http://id.loc.gov/authorities/names/no95033278
American Red Cross.,American National Red Cross,http://id.loc.gov/authorities/names/n79096723
American Society of Civil Engineers.,American Institute of Architects,http://id.loc.gov/authorities/names/n79053945
American Trudeau Society.,American Thoracic Society,http://id.loc.gov/authorities/names/n82047797
American Turners (Organization),"Bloomington Turnverein (Bloomington, Ill.)",http://id.loc.gov/authorities/names/n98089188
American Union Against Militarism.,American Civil Liberties Union,http://id.loc.gov/authorities/names/n79079580
"American Youth Hostels, inc. Metropolitan Detroit Council.","American Youth Hostels, inc. Metropolitan Detroit Council. Sail Committee",http://id.loc.gov/authorities/names/n84183004
Animas-La Plata Project.,Animas-La Plata Archaeological Project,http://id.loc.gov/authorities/names/n99006284
Ann Arbor Academy.,"Michigan Academy of Science, Arts, and Letters",http://id.loc.gov/authorities/names/n85251919
Ann Arbor Club.,"Research Club in Language Learning (Ann Arbor, Mich.)",http://id.loc.gov/authorities/names/n80048302
Ann Arbor High School (Mich.),Ann Arbor Union High School,http://id.loc.gov/authorities/names/nr98038859
Ann Arbor Historic Commission (Mich.),Ann Arbor Historic District Commission (Mich.),http://id.loc.gov/authorities/names/n78016905
Ann Arbor Railroad Company.,Wabash Railroad,http://id.loc.gov/authorities/names/n85229876
Ann Arbor School of Music.,University of Michigan. School of Music,http://id.loc.gov/authorities/names/n82063886
Ann Arbor Symphony.,University of Michigan. Symphony Band,http://id.loc.gov/authorities/names/n82217048
Arc Michigan.,Association for Retarded Citizens/Michigan,http://id.loc.gov/authorities/names/n88122558
Association of American Library Schools.,Association for Library and Information Science Education,http://id.loc.gov/authorities/names/n83206839
Association of American Universities.,Association of American Colleges,http://id.loc.gov/authorities/names/n80030703
Association of Governing Boards of State Universities and Allied Institutions.,Association of Governing Boards of Universities and Colleges,http://id.loc.gov/authorities/names/n79089781
Association of Iron and Steel Engineers.,Verein Deutscher Eisenhüttenleute,http://id.loc.gov/authorities/names/n80066673
Association of Schools of Public Health.,National League for Nursing,http://id.loc.gov/authorities/names/n83030843
Association of Universities for Research in Astronomy.,Kitt Peak National Observatory,http://id.loc.gov/authorities/names/n80152888
Atlantic Union (U.S.),Seafarers' International Union of North America,http://id.loc.gov/authorities/names/n87876605
Atomic Bomb Casualty Commission.,Radiation Effects Research Foundation,http://id.loc.gov/authorities/names/n82166445
Automobile Manufacturers Association.,Nihon Jidōsha Kōgyōkai,http://id.loc.gov/authorities/names/n82136869
Automotive Safety Foundation.,Highway Users Federation for Safety and Mobility,http://id.loc.gov/authorities/names/n50039439
B'nai B'rith. Anti-defamation League.,Anti-defamation League,http://id.loc.gov/authorities/names/no2008080186
Battle Creek Food Company.,Battle Creek Food Co.,http://id.loc.gov/authorities/names/n2013186787
Battle Creek Sanitarium.,"Percy Jones General Hospital (Battle Creek, Mich.)",http://id.loc.gov/authorities/names/n99021411
Bethlehem Steel Company.,Bethlehem Steel Corporation,http://id.loc.gov/authorities/names/n50077079
Bible Presbyterian Church. Collingswood Synod.,Bible Presbyterian Church,http://id.loc.gov/authorities/names/n95008288
"Birmingham Temple (Farmington Hills, Mich.)","Birmingham Temple (Birmingham, Mich.)",http://id.loc.gov/authorities/names/no2007146952
