A-Square Records.,A-Square Records,http://id.loc.gov/authorities/names/no2008143052
Acacia Fraternity.,Acacia Fraternity,http://id.loc.gov/authorities/names/n85004340
Acton Institute for the Study of Religion and Liberty.,Acton Institute for the Study of Religion and Liberty,http://id.loc.gov/authorities/names/n92102957
"Adrian College (Adrian, Mich.)","Adrian College (Adrian, Mich.)",http://id.loc.gov/authorities/names/no2001049307
Advisory Committee on Rules of Evidence.,Maine. Advisory Committee on Rules of Evidence,http://id.loc.gov/authorities/names/no98057659
Aerosmith (Musical group),Aerosmith (Musical group),http://id.loc.gov/authorities/names/n91112130
Affirmations.,"Reel Affirmations (Film festival) (Washington, D.C.)",http://id.loc.gov/authorities/names/no2012143204
African Methodist Episcopal Church.,African Methodist Episcopal Church,http://id.loc.gov/authorities/names/n80060458
Alan M. Voorhees   Associates.,Alan M. Voorhees & Associates,http://id.loc.gov/authorities/names/n79096749
Albert Kahn Associates.,Albert Kahn Associates,http://id.loc.gov/authorities/names/nr97013546
Albion College.,Albion College,http://id.loc.gov/authorities/names/n86812068
Alliance for Cultural Democracy.,Alliance for Cultural Democracy,http://id.loc.gov/authorities/names/nr93049540
Allied Forces. Supreme Headquarters. Psychological Warfare Division.,Allied Forces. Supreme Headquarters. Psychological Warfare Division,http://id.loc.gov/authorities/names/n50064291
Allied Mapping Section.,United States. Army. Corps of Engineers. Allied Mapping Section,http://id.loc.gov/authorities/names/no2001077668
Alma College.,Alma College,http://id.loc.gov/authorities/names/n85149705
Alpha Kappa Alpha Sorority.,Alpha Kappa Alpha Sorority,http://id.loc.gov/authorities/names/n86078716
Alphadelphia Association.,Alphadelphia Association (Organization),http://id.loc.gov/authorities/names/no2008133308
Amateur Athletic Union of the United States.,Amateur Athletic Union of the United States,http://id.loc.gov/authorities/names/n80057268
Amateur Fencers League of America.,Amateur Fencers League of America,http://id.loc.gov/authorities/names/n82028910
Amazon (Ship),Amazon (Ship : active 1811-1812),http://id.loc.gov/authorities/names/no2010206618
Amboy Dukes (Musical group),Amboy Dukes (Musical group),http://id.loc.gov/authorities/names/n93078812
America First Committee.,America First Committee,http://id.loc.gov/authorities/names/n88116780
American Academy in Rome.,American Academy in Rome,http://id.loc.gov/authorities/names/n79032986
American Academy of Occupational Medicine.,American Academy of Occupational Medicine,http://id.loc.gov/authorities/names/n83054837
American Academy of Ophthalmology and Otolaryngology.,American Academy of Ophthalmology,http://id.loc.gov/authorities/names/n78052234
American Alumni Council.,American Alumni Council,http://id.loc.gov/authorities/names/n50063101
American Anthropological Association.,American Anthropological Association,http://id.loc.gov/authorities/names/n79061234
American Anti-Imperialist League.,American Anti-Imperialist League,http://id.loc.gov/authorities/names/no95055308
American Arab Chamber of Commerce.,American Arab Chamber of Commerce,http://id.loc.gov/authorities/names/no2002021938
American Association for Adult Education.,American Association for Adult and Continuing Education,http://id.loc.gov/authorities/names/n83029447
American Association for Social Security.,American Association for Social Security,http://id.loc.gov/authorities/names/n85311988
American Association for the Advancement of Science.,American Association for the Advancement of Science,http://id.loc.gov/authorities/names/n79053772
American Association of Occupational Health Nurses.,American Association of Occupational Health Nurses,http://id.loc.gov/authorities/names/n84133134
American Association of Orthodontists.,American Association of Orthodontists,http://id.loc.gov/authorities/names/n82020740
American Association of State Highway Officials.,American Association of State Highway and Transportation Officials,http://id.loc.gov/authorities/names/n79007717
American Association of University Professors.,American Association of University Professors,http://id.loc.gov/authorities/names/n79076108
American Association of University Women.,American Association of University Women,http://id.loc.gov/authorities/names/n79100563
American Automobile Association.,American Automobile Association,http://id.loc.gov/authorities/names/n78088938
American Bankers Association.,American Bankers Association,http://id.loc.gov/authorities/names/n79116227
American Bar Association.,American Bar Association,http://id.loc.gov/authorities/names/n78083441
American Bar Foundation.,American Bar Foundation,http://id.loc.gov/authorities/names/n80126283
American Bible Society.,American Bible Society,http://id.loc.gov/authorities/names/n80057270
American Camping Association.,American Camping Association,http://id.loc.gov/authorities/names/n79053025
American Civil Liberties Union.,American Civil Liberties Union,http://id.loc.gov/authorities/names/n79079580
American Coalition.,North American Coalition for Human Rights in Korea,http://id.loc.gov/authorities/names/no88006339
American College Public Relations Association.,American College Public Relations Association,http://id.loc.gov/authorities/names/n50061249
American College of Surgeons.,American College of Surgeons,http://id.loc.gov/authorities/names/n79063969
American College of Surgeons. Committee on Trauma.,American College of Surgeons. Committee on Trauma,http://id.loc.gov/authorities/names/n82011728
American Committee for the Protection of the Foreign Born.,American Committee for Protection of Foreign Born,http://id.loc.gov/authorities/names/n87818792
American Concrete Institute.,American Concrete Institute,http://id.loc.gov/authorities/names/n79043412
American Council of Christian Churches.,American Council of Christian Churches,http://id.loc.gov/authorities/names/n88005019
American Council on Alcohol Problems.,American Council on Alcohol Problems,http://id.loc.gov/authorities/names/n82080917
American Council on Education.,American Council on Education,http://id.loc.gov/authorities/names/n79053955
American Council on Education. American Youth Commission.,American Council on Education. American Youth Commission,http://id.loc.gov/authorities/names/nr91039328
American Druze Society.,American Druze Society,http://id.loc.gov/authorities/names/n88097831
American Educational Theatre Association.,American Theatre Association,http://id.loc.gov/authorities/names/n80005794
American Eugenics Society.,American Eugenics Society,http://id.loc.gov/authorities/names/n78057202
American Federation of Information Processing Societies.,American Federation of Information Processing Societies,http://id.loc.gov/authorities/names/n80015740
American Federation of Labor.,American Federation of Labor,http://id.loc.gov/authorities/names/n79091711
American Federation of Musicians.,American Federation of Musicians of the United States and Canada,http://id.loc.gov/authorities/names/n85375762
