attribute value,count
,95
Atlas,1
Box,620509
Boxes,549
Bundle,31
Bundles,7
CD Box,159
Cabinet,31
Con.,179
DVD Box,1141
Display Panels,12
Drawer,13632
Drawers,17
Film,12
Film Reel,1
Folder,20804
Folders,31
Framed Art,2
Framed Citations,7
Framed item,2
Framed photo,4
Item,185
MF Reels,18
Microfilm,6
No.,393
Out Case,18
Oversize Box,300
Oversize Boxes,4
Oversize Film,2
Oversize Folder,939
Oversize Folders,17
Oversize Frames,2
Oversize Item,2
Oversize Scrapbook,10
Oversize Videotape,1
Oversize Volume,2548
Oversize Volumes,107
Panel,2
Phonographs,2
Portfolio,1
Reel,7
Roll,13610
Scrapbook,38
Sound Disc,9
Sound Discs,1
Sound Rec. Box,1
Tray,359
Tube,1987
Tubes,30
Volume,275
Volumes,14
box,1
