name,number of appearances within EADs
series->subseries->file,142362
series->file,108380
series->file->file,96922
series->subseries->file->file,76708
series->file->file->file,28680
series->subseries->file->file->file,25600
series->subseries->otherlevel->file,25592
subgrp->series->subseries->file->file,24871
subgrp->series->subseries->file,21915
series->subseries->otherlevel->file->file,12743
subgrp->series->subseries->otherlevel->file->file,9339
subgrp->series->subseries->file->file->file,8920
subgrp->series->file->file,7845
subgrp->series->file,6941
subgrp->series->subseries->otherlevel->file,6348
series->item,6339
series->file->file->file->file,5881
series->file->item,5874
series->subseries->item,5032
series->subseries->file->file->file->file,4936
series->subseries->otherlevel->file->file->file,4684
series->subseries->otherlevel->otherlevel->file,4439
subgrp->series->file->file->file,2983
series->subseries->file->item,2684
subgrp->series->subseries->otherlevel->file->file->file,2371
subgrp->series->subseries->file->file->file->file,2135
series->series->file,2052
series->otherlevel->otherlevel,1939
series->series->subseries->file,1686
series->subseries->otherlevel->otherlevel,1579
series->series->otherlevel->file,1235
series->series->file->file,1215
series->file->file->file->file->file,1097
subgrp->series->file->file->file->file,1017
series->subseries->file->file->file->file->file,995
subgrp->series->otherlevel->file,957
series->subseries->item->item,953
series->file->file->item,854
subgrp->series->subseries->item->otherlevel,742
series->subseries->file->file->item,738
series->series->file->file->file,676
series->otherlevel->item->otherlevel,666
series->subseries->otherlevel->file->file->file->file,642
otherlevel->series->subseries->file->file,635
series->file->file->file->item,578
otherlevel->series->subseries->file,545
subgrp->series->subseries->file->file->file->file->file,523
subgrp->series->otherlevel->file->file,459
subgrp->series->subseries->otherlevel->otherlevel->file->file,448
series->subseries->otherlevel->file->item,438
subgrp->series->item->otherlevel,434
series->subseries->otherlevel->otherlevel->file->file,381
otherlevel->series->subseries->file->file->file,306
series->series->otherlevel->file->file,303
subgrp->series->series->file->file,295
series->series->file->file->file->file,259
subgrp->series->series->file,234
series->subseries->otherlevel->item,211
subgrp->series->file->otherlevel->file->file,209
subgrp->series->file->otherlevel->file,206
subgrp->series->subseries->otherlevel->otherlevel->file,175
series->subseries->item->otherlevel,174
otherlevel->series->file,163
subgrp->file->file->file,153
subgrp->series->subseries->otherlevel->file->file->file->file,153
series->series->otherlevel->file->file->file,152
series->subseries->file->file->file->file->file->file,145
series->subseries->otherlevel->otherlevel->file->file->file,142
subgrp->series->file->file->file->file->file,142
None->subseries->file,141
subgrp->file->file->file->file,124
subgrp->subseries->file->file->file,102
series->file->file->file->file->file->file,99
subgrp->series->series->file->file->file,90
subgrp->series->series->file->item,90
series->item->otherlevel,82
series->subseries->file->item->otherlevel,77
subgrp->series->otherlevel->file->file->file,77
series->otherlevel->file,73
file->file,72
series->subseries->otherlevel->file->file->item,66
series->subseries->None->item,64
subgrp->series->file->item,62
series->subseries->otherlevel->otherlevel->file->item,61
series->otherlevel->item,58
series->file->file->file->file->item,52
series->file->item->otherlevel,48
subgrp->series->subseries->file->None,47
series->subseries->otherlevel->file->file->file->file->file,46
otherlevel->series->subseries->file->file->file->file,42
subgrp->series->subseries,42
subgrp->file->file->file->file->file,39
otherlevel->series->file->file,38
subgrp->series->file->otherlevel->file->file->file,38
series->file->subseries->file,35
series->subseries->otherlevel,35
subgrp->series->item,35
series->file->otherlevel->file,34
series->subseries->otherlevel->otherlevel->file->file->file->file,32
series->file->None,29
series->series->file->file->file->file->file,29
series->subseries,29
series->subseries->file->file->file->file->file->file->file,26
series->None,24
subgrp->series->otherlevel->file->file->file->file,24
subgrp->series->series->item,24
subgrp->series->file->file->file->file->file->file,22
subgrp->series->subseries->item,21
series->otherlevel->file->file,16
series,15
series->otherlevel->item->item,15
series->None->item,14
subgrp->file->file->file->file->file->file,13
subgrp->series->file->file->item,13
series->file->file->file->file->file->item,12
series->subseries->file->None,12
series->subseries->otherlevel->item->otherlevel,12
subgrp->series->subseries->otherlevel->otherlevel->file->file->file,12
series->file->file->file->file->file->file->item,11
series->file->file->item->item,11
series->file->item->item,11
series->item->item,11
subgrp->file->file,11
subgrp->series->subseries->file->item,11
series->file->otherlevel->file->file,10
subgrp->series->file->file->otherlevel->file,10
otherlevel->series->file->otherlevel,9
series->file->None->None,9
series->series->file->file->file->file->file->file,9
series->subseries->item->item->otherlevel,9
subgrp->series->subseries->file->file->None,9
subgrp->series->subseries->file->file->file->file->file->file,9
series->subseries->subseries->file,8
subgrp->series->subseries->None->file,8
series->file->file->None,7
subgrp->series->series->file->file->file->file,7
file,6
series->None->file,6
series->subseries->None,6
subgrp->series->file->file->file->None,6
subgrp->series->file->item->otherlevel,6
subgrp->subseries->file->file,6
None->None,5
None->file->file,5
otherlevel->series->file->file->file,4
series->file->file->file->file->file->file->file,4
series->subseries->otherlevel->file->file->file->item,4
subgrp->file,4
subgrp->series->subseries->file->file->item,4
subgrp->series->subseries->otherlevel->file->file->file->file->file,4
None->file,3
otherlevel->series->item->otherlevel,3
otherlevel->series->otherlevel->otherlevel,3
series->file->otherlevel,3
series->series->item,3
series->subseries->file->otherlevel->file,3
subgrp->series->subseries->None,3
series->series->file->None,2
series->subseries->None->file,2
series->subseries->file->file->None,2
series->subseries->file->file->file->None,2
series->subseries->otherlevel->file->None,2
series->subseries->otherlevel->otherlevel->otherlevel,2
subgrp->series->subseries->subseries,2
None,1
None->None->file,1
None->item,1
item,1
series->None->None,1
series->file->file->otherlevel,1
series->subseries->otherlevel->None,1
series->subseries->subseries,1
subgrp->None,1
subgrp->None->None,1
subgrp->series,1
subgrp->series->None,1
subgrp->series->otherlevel,1
subgrp->series->subseries->otherlevel,1
subgrp->subseries->file,1
