extent name,number of discrete appearances of extent type in EAD files,total extent size through all collections
folders,40815,195466.0
items,2078,20421.0
negatives,2046,9437.0
volumes,1635,9096.0
photographs,994,3090.0
item,720,720.0
volume,716,726.0
folder,488,535.0
tapes,474,3560.0
envelopes,338,1461.0
one cassette,313,0
frames,277,7927.0
negs,259,487.0
lin. ft,249,1473.7999999999993
prints,249,2570.0
cd,229,209.0
photos,228,1879.0
linear ft,207,2945.0499999999997
cassettes,198,1960.0
reels,194,819.0
"one 7"" reel",171,0
also medium,169,0
sheets,165,1322.0
copies,145,345.0
binder,144,143.0
expandable folders,121,337.0
vols,112,739.0
plates,111,389.0
vol,111,217.0
binders,110,397.0
cs,110,0
expandable folder,108,102.0
drawings,107,8328.0
min,104,3594.0
sheet,96,96.0
slides,77,1549.0
black,76,1231.0
files,75,4004.0
cds,74,237.0
Folders,71,419.0
discs,62,213.0
v,62,208.0
feet,61,20843.0
photonegatives,61,217.0
pieces,60,742.0
PDF,58,0
linear feet,58,571.65
two cassettes,55,0
boxes,54,189.0
reel,53,53.0
issues,52,459.0
pp,52,1569.0
pages,48,10982.0
print,48,46.0
black-and-white prints,47,0
electrical drawings,46,0
linear inches,46,179.0
negative,45,45.0
one print,45,0
mechanical,41,0
disc,39,49.0
medium only,38,0
notebook,38,37.0
white images,36,0
:30,35,0
folders),33,140.0
negatives in [x] envelope,33,243.0
cassette tapes,32,241.0
large,32,0
large only,32,0
notebooks,32,109.0
three cassettes,31,0
videotapes,31,167.0
color slides,30,3113.0
multiple folders,30,0
minute cassette,29,2641.0
contact sheets,28,101.0
meet action,28,0
ZIP file),27,0
bound volumes,24,142.0
"two 7"" reels",24,0
bound volume,21,17.0
head shots,21,0
b&w prints,20,273.0
cassette,20,20.0
EMPTY EXTENT!,19,0
cards,19,111.0
two drawings,19,0
posed,18,0
three prints,18,0
two prints,18,0
Two drawings,17,0
boards,17,62.0
CDs,16,80.0
album,16,15.0
images,15,673.0
microcassettes,15,35.0
minute cassettes,15,900.0
of [x] folders,15,46.0
structural,15,0
Forty prints,14,0
disks,14,32.0
envelope,14,50.0
map : ms,14,14.0
records,14,37.0
([x] folders),13,0
also large,13,0
architectural drawings,13,0
black-and-white print,13,0
bundle,13,13.0
ca. [x] min,13,310.0
cassette tape,13,12.0
color prints,13,61.0
slide,13,21.0
ten prints,13,0
white prints,13,0
VHS tapes,12,46.0
albums,12,37.0
maps,12,168.0
mounted print,12,12.0
seven prints,12,0
sound tape reel,12,12.0
b&w slides in folder,11,75.0
five prints,11,0
four prints,11,0
microcassette,11,9.0
one drawing,11,0
packets,11,48.0
"three 7"" reels",11,0
:60,10,0
audio cassettes,10,79.0
box,10,10.0
contact sheet,10,9.0
cs only,10,0
minutes,10,622.0
"one [x] 1/2"" reel",10,0
seconds,10,368.0
white photographs,10,0
b&w images,9,101.0
booklets,9,104.0
books,9,89.0
color,9,33.0
digital cs,9,0
file,9,9.0
medium,9,0
mounted prints,9,241.0
rolls,9,70.0
CD,8,8.0
blueprints,8,119.0
color photographs,8,191.0
electrical,8,0
one perspective,8,0
sound tape reel: [x] 1/[x] ips; [x] in,8,8.0
tape: [x] min,8,8.0
architectural,7,0
black & white images,7,96.0
ca. [x] minutes,7,115.0
