filename,Doc last modified date,EAD last modified date,difference in days
hatcherh,5/28/2015 10:38,1/14/2004 13:33,4151
ucouncil,6/8/2015 16:02,3/7/2006 9:12,3380
woctfpub,6/8/2015 16:03,4/11/2007 11:09,2980
mitechc,9/11/2011 17:27,1/14/2004 13:34,2797
tsaoonce,6/14/2011 15:33,9/17/2004 11:28,2461
michabor,4/20/2011 16:07,5/10/2005 17:21,2170
perazza,9/25/2014 17:37,2/23/2010 13:54,1675
cyrio,3/8/2009 17:57,5/10/2005 16:53,1398
caupstup,9/11/2011 20:45,12/7/2007 10:00,1374
ucellar,9/13/2011 13:11,2/23/2008 14:38,1297
nursescc,9/13/2011 9:06,11/13/2008 16:38,1033
flexpub,4/10/2009 14:35,4/5/2007 15:34,735
marshal,6/8/2015 15:54,6/8/2013 10:36,730
johnsonl,5/9/2007 12:14,8/18/2005 16:32,628
hospbus,4/16/2007 11:59,11/13/2005 17:36,518
grul,4/20/2007 15:16,3/24/2006 15:30,391
gombergh,1/22/2008 9:57,4/16/2007 19:19,280
compcent,5/20/2015 14:03,9/13/2014 14:19,248
solarcar,6/8/2015 10:15,11/9/2014 13:56,210
cauppub,6/5/2015 9:42,11/9/2014 13:56,207
lawpub,6/5/2015 13:51,11/9/2014 13:56,207
wctf,6/8/2015 14:56,11/22/2014 16:50,197
oslerdav,6/1/2015 18:01,11/22/2014 16:50,191
umnisfac,5/27/2015 11:41,11/26/2014 15:41,181
ootbmpm,12/19/2013 10:53,7/10/2013 14:47,161
mcookpub,4/15/2015 15:18,11/17/2014 15:39,148
affact,5/31/2006 13:23,1/5/2006 11:36,146
biciath,6/12/2015 17:34,2/4/2015 11:03,128
lwva2,6/6/2011 16:38,1/31/2011 14:05,126
calendum,4/11/2007 16:47,12/16/2006 10:23,116
benningh,11/5/2014 16:12,8/12/2014 11:51,85
umhosp,5/6/2015 14:00,2/22/2015 10:21,73
yostfh,1/23/2015 13:20,11/15/2014 16:18,68
nerspub,6/5/2015 12:20,4/3/2015 10:25,63
conhistp,1/10/2011 10:48,11/18/2010 8:05,53
teachout,6/24/2010 13:36,5/3/2010 12:20,52
whiteadm,11/22/2008 18:24,10/2/2008 11:43,51
gbassoc,5/26/2015 15:12,4/6/2015 11:18,50
bemanww,2/4/2009 12:05,12/18/2008 5:19,48
michsha,3/20/2008 11:14,2/5/2008 17:00,43
hildebra,2/29/2004 19:25,1/22/2004 18:03,38
meally,2/29/2004 19:26,1/23/2004 12:09,37
clemlib,9/5/2006 17:34,8/7/2006 15:26,29
krauspub,1/14/2009 13:02,12/15/2008 13:16,29
hallerdm,12/7/2011 9:10,11/16/2011 11:01,20
cranehr,2/29/2004 19:24,2/9/2004 20:48,19
lehmannc,2/6/2009 8:42,1/18/2009 5:13,19
umshur,11/20/2006 10:41,11/3/2006 20:28,16
beeton,2/29/2004 19:24,2/19/2004 17:13,10
brownell,11/24/2008 11:42,11/13/2008 16:22,10
crltpub,4/11/2007 11:18,4/4/2007 15:05,6
englipub,4/11/2007 16:55,4/5/2007 14:23,6
geoscpub,4/11/2007 16:50,4/6/2007 12:01,5
laworal,8/16/2005 11:49,8/10/2005 17:25,5
icpsrpub,4/11/2007 17:17,4/6/2007 17:51,4
libpubs,4/11/2007 17:05,4/7/2007 13:50,4
madrc,4/11/2007 17:04,4/7/2007 14:26,4
dpgmed,6/8/2006 17:36,6/5/2006 16:36,3
kaufmana,3/19/2007 17:01,3/16/2007 15:57,3
umscreen,10/20/2008 17:49,10/16/2008 18:56,3
meampub,4/11/2007 17:01,4/9/2007 11:48,2
medalum,4/11/2007 17:00,4/9/2007 12:09,2
mhripub,4/11/2007 16:58,4/9/2007 13:55,2
recsppub,4/11/2007 17:46,4/9/2007 15:37,2
umtripub,4/11/2007 17:28,4/10/2007 11:13,1
amcitj,6/14/2007 13:47,6/14/2007 10:02,0
csmil,9/7/2007 13:11,9/7/2007 11:06,0
detast,8/18/2005 16:41,8/18/2005 16:10,0
donahuet,10/9/2007 16:03,10/9/2007 14:45,0
famlymed,1/14/2015 11:45,1/14/2015 10:50,0
gerardr,6/25/2009 13:06,6/25/2009 12:30,0
powrie,1/25/2011 14:46,1/25/2011 14:02,0
rackhamg,2/23/2015 13:36,2/23/2015 9:57,0
salinewo,2/1/2008 16:17,2/1/2008 14:44,0
schmalet,2/1/2008 16:18,2/1/2008 15:20,0
strodtmn,10/2/2008 11:45,10/2/2008 10:41,0
taubmanl,7/30/2012 15:30,7/30/2012 12:47,0
winegarf,1/28/2013 11:15,1/28/2013 9:48,0
