name,number of appearances within EADs
collection->file,10
collection->file->file,22
collection->item,7
file,1
file->file,72
item,1
None,1
None->file,3
None->file->file,5
None->item,1
None->None,5
None->subseries->file,9
otherlevel->series->file,163
otherlevel->series->file->file,38
otherlevel->series->file->file->file,4
otherlevel->series->file->otherlevel,9
otherlevel->series->item->otherlevel,3
otherlevel->series->otherlevel->otherlevel,3
otherlevel->series->subseries->file,545
otherlevel->series->subseries->file->file,635
otherlevel->series->subseries->file->file->file,306
otherlevel->series->subseries->file->file->file->file,42
series,14
series->file,106661
series->file->file,96231
series->file->file->file,28098
series->file->file->file->file,4827
series->file->file->file->file->file,676
series->file->file->file->file->file->file,52
series->file->file->file->file->file->file->file,4
series->file->file->file->file->file->file->item,11
series->file->file->file->file->file->item,12
series->file->file->file->file->item,52
series->file->file->file->item,222
series->file->file->file->item->file,10
series->file->file->item,830
series->file->file->item->file,35
series->file->file->item->item,210
series->file->file->item->item->file,3
series->file->file->None,6
series->file->file->otherlevel,1
series->file->item,5858
series->file->item->file,328
series->file->item->file->file,840
series->file->item->file->file->file,375
series->file->item->file->file->file->file,47
series->file->item->file->item,178
series->file->item->item,15
series->file->item->item->file,10
series->file->item->item->item,74
series->file->item->otherlevel,48
series->file->None,23
series->file->otherlevel,3
series->file->otherlevel->file,34
series->file->otherlevel->file->file,10
series->file->subseries->file,35
series->item,6330
series->item->file,388
series->item->file->file,251
series->item->file->file->file,63
series->item->file->file->file->file,33
series->item->file->item,22
series->item->item,33
series->item->item->file,9
series->item->item->file->file,12
series->item->otherlevel,82
series->None,23
series->None->file,6
series->None->None,1
series->otherlevel->file,73
series->otherlevel->file->file,16
series->otherlevel->item,58
series->otherlevel->item->item,15
series->otherlevel->item->otherlevel,666
series->otherlevel->otherlevel,1939
series->series->file,1319
series->series->file->file,1078
series->series->file->file->file,690
series->series->file->file->file->file,259
series->series->file->file->file->file->file,29
series->series->file->file->file->file->file->file,9
series->series->file->None,2
series->series->item,11
series->series->item->file,67
series->series->item->file->file,37
series->series->item->file->file->file,51
series->series->otherlevel->file,1181
