"
        ",2771
Photographs.,1554
University of Michigan--Faculty.,583
Scrapbooks.,284
Diaries.,239
Videotapes.,235
Ann Arbor (Mich.),214
Sound recordings.,208
"World War, 1914-1918.",176
Republican Party (Mich.),154
Michigan--Politics and government--1951-,131
"United States--History--Civil War, 1861-1865.",118
Detroit (Mich.),116
"World War, 1939-1945.",116
Polar Bear Expedition.,109
"Soviet Union--History--Allied intervention, 1918-1920.",109
University of Michigan--Students.,108
Motion pictures.,101
University of Michigan--Buildings.,96
Michigan--Politics and government--1837-1950.,95
Democratic Party (Mich.),94
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951.",92
Women.,91
Newsletters.,87
Interiors.,86
Michigan--Politics and government--1946-1960.,82
Michigan--Politics and government--1961-1970.,81
"Murphy, Frank, 1890-1949.",78
"University of Michigan--Students--Societies, etc.",75
"Angell, James Burrill, 1829-1916.",74
"Osborn, Chase S. (Chase Salmon), b. 1860.",73
Children.,72
Grand Rapids (Mich.),72
"Williams, G. Mennen, 1911-",67
University of Michigan. College of Engineering.,66
Business records.,65
University of Michigan. Medical School.,63
Dwellings--Michigan--Ann Arbor.,62
University of Michigan. Board of Regents.,61
African Americans--Michigan.,59
University of Michigan--Sports.,59
Philippines--History--1898-1946.,58
University of Michigan--Alumni and alumnae.,57
Governors--Michigan.,56
Upper Peninsula (Mich.),56
Michigan--Politics and government--1929-1938.,55
Reports.,55
Voyages and travels.,55
Women college students--Michigan--Ann Arbor.,55
Albums.,54
Oral histories.,54
University of Michigan--Administration.,54
Pamphlets.,53
Tintypes.,53
University of Michigan--Football.,53
Ann Arbor (Mich.)--Dwellings.,52
Manuals.,52
University of Michigan--Law School.,52
Michigan--Politics and government--1939-1945.,50
CD-ROMs.,49
Conservation of natural resources--Michigan.,48
Washtenaw County (Mich.),48
"Brucker, Wilber Marion, 1894-1968.",47
Women--Michigan--Ann Arbor--Societies and clubs.,47
Drawings.,46
Railroads--Michigan.,46
University of Michigan--Research.,46
University of Michigan--Student housing.,45
University of Michigan--Students--Social life and customs.,45
Michigan--Politics and government--1971-1980.,44
"Hutchins, Harry B. (Harry Burns), 1847-1930.",43
University of Michigan--Students--Social life and customs--1961-1970.,43
Ypsilanti (Mich.),43
Annual reports.,42
"Roosevelt, Franklin D. (Franklin Delano), 1882-1945.",42
Architectural drawings.,41
"Couzens, James, 1872-1936.",41
DVDs.,41
Dwellings.,41
"Green, Fred Warren, 1872-1936.",41
Mackinac Island (Mich.),41
Indians of North America--Michigan.,40
"Burton, Marion Le Roy, 1874-1925.",39
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944.",39
Directories.,39
Greek letter societies--Michigan--Ann Arbor.,39
Sermons.,38
Bulletins.,37
"Hart, Philip A. (Philip Aloysius), 1912-1976.",37
Kalamazoo (Mich.),37
Posters.,37
Programs.,37
"Kennedy, John F. (John Fitzgerald), 1917-1963.",36
Music--Michigan--Ann Arbor.,36
United States. Congress. House.,36
University of Michigan--Campus.,36
University of Michigan. School of Music.,36
Battle Creek (Mich.),35
Detroit (Mich.)--Church history.,35
Histories.,35
"Ruthven, Alexander Grant, 1882-",35
University of Michigan. School of Education.,35
"Eisenhower, Dwight D. (Dwight David), 1890-1969.",34
"Humphrey, Hubert H. (Hubert Horatio), 1911-1978.",34
Michigan. Constitutional Convention (1961-1962),34
"Romney, George W., 1907-",34
Sault Sainte Marie (Mich.),34
Women--Michigan--Ann Arbor.,34
"Brown, Prentiss Marsh, 1889-1973.",33
Education--Michigan.,33
"Spanish-American War, 1898.",33
Travelers.,33
University of Michigan. Library.,33
University of Michigan. President.,33
Women's rights--Michigan.,33
"Johnson, Lyndon B. (Lyndon Baines), 1908-1973.",32
Lumber industry.,32
Michigan. Legislature.,32
"Truman, Harry S., 1884-1972.",32
United States--Politics and government--1933-1945.,32
University of Michigan--Students--Social life and customs--1971-1980.,32
Architecture.,31
Flint (Mich.),31
Michigan--Social life and customs--19th century.,31
University of Michigan. School of Public Health.,31
"Van Wagoner, Murray Delos, 1898-",31
"China--History--Republic, 1912-1949.",30
"Clements, William L. (William Lawrence), 1861-1934.",30
"Ferris, Woodbridge N., 1853-1928.",30
"Hoover, Herbert, 1874-1964.",30
"Huron River (Oakland County-Monroe County, Mich.)",30
Japan.,30
Laborers.,30
Law.,30
Michigan--Politics and government--1981-1990.,30
Michigan. Supreme Court.,30
Physicians--Michigan--Ann Arbor.,30
University of Michigan--Student notebooks.,30
University of Michigan--Students--Social life and customs--1911-1920.,30
persname.,30
Ann Arbor (Mich.)--Streets.,29
Families.,29
"Fitzgerald, Frank Dwight, 1885-1939.",29
Saginaw (Mich.),29
University of Michigan--Students--Social life and customs--1921-1930.,29
University of Michigan. University Hospital.,29
geogname.,29
Boats.,28
"Comstock, William Alfred, 1877-1949.",28
"Ferguson, Homer, 1889-1982.",28
Medicine--Michigan.,28
Michigan--Politics and government--1922-1928.,28
"Pollock, James Kerr, 1898-",28
Schools--Michigan--Ann Arbor.,28
"Smith, Shirley Wheeler, 1875-1959.",28
Women--Michigan--Societies and clubs.,28
"Beal, Junius Emery, 1860-1942.",27
Bibliographies.,27
Environmental protection--Michigan.,27
"Ford, Henry, 1863-1947.",27
Parades and processions.,27
"Roosevelt, Eleanor, 1884-1962.",27
"Townsend, Charles Elroy, 1856-1924.",27
University of Michigan--History.,27
University of Michigan--Students--Political activity.,27
Ann Arbor (Mich.)--Churches.,26
Archaeology.,26
Demonstrations--Michigan--Ann Arbor.,26
"Groesbeck, Alexander J., 1873-1953.",26
Judges--Michigan.,26
"Kelly, Harry F. (Harry Francis), 1895-1971.",26
Laboratories.,26
Lansing (Mich.),26
Michigan Union.,26
Travel.,26
United States--Politics and government--1953-1961.,26
Automobiles.,25
"Bishop, William Warner, 1871-1955.",25
Classrooms--Michigan--Ann Arbor.,25
"Dewey, John, 1859-1952.",25
Europe--Description and travel.,25
"Ford, Gerald R., 1913-",25
"Hobbs, William Herbert, 1864-1952.",25
"Michener, Earl C. (Earl Cory), 1876-1957.",25
Military art and science.,25
Minority college students--Michigan--Ann Arbor.,25
Postcards.,25
University of Michigan. Dept. of Political Science.,25
University of Michigan. School of Natural Resources.,25
Ann Arbor (Mich.)--Politics and government.,24
Black Action Movement (University of Michigan),24
Brochures.,24
Churches--Michigan--Ann Arbor.,24
College publications.,24
"Cooley, Thomas McIntyre, 1824-1898.",24
"Dewey, Thomas E. (Thomas Edmund), 1902-1971.",24
"Hatcher, Harlan Henthorne, 1898-",24
"Knox, Frank, 1874-1944.",24
"Little, Clarence C. (Clarence Cook), b. 1888.",24
"Milliken, William G., 1922-",24
Prohibition--United States.,24
Streets--Michigan--Ann Arbor.,24
"Swainson, John Burley, 1925-",24
"Taft, William H. (William Howard), 1857-1930.",24
United States--Politics and government--1929-1933.,24
University of Michigan--Students--Social life and customs--1931-1940.,24
University of Michigan--Students--Social life and customs--1951-1960.,24
African Americans--Michigan--Detroit.,23
African Americans.,23
Agriculture--Michigan.,23
"Dickinson, Luren Dudley, 1859-1943.",23
Education--Michigan--Ann Arbor.,23
"Hayden, Joseph Ralston, 1887-1945.",23
Legislators--Michigan.,23
Michigan--Politics and government--1899-1916.,23
Michigan. Legislature. House of Representatives.,23
Military camps.,23
Prints.,23
Ships--Great Lakes.,23
"Sigler, Kim, b. 1894.",23
United States--Politics and government--1963-1969.,23
University of Michigan--Finance.,23
"Yost, Fielding Harris, 1871-1946.",23
corpname.,23
"Ann Arbor (Mich.)--Buildings, structures, etc.",22
Ann Arbor (Mich.)--Buildings.,22
Audiocassettes.,22
Cartoons.,22
Churches--Michigan--Detroit.,22
Germany.,22
Michigan--Social life and customs--1891-1900.,22
"Murfin, James Orin, 1875-1940.",22
"Peace--Societies, etc.",22
"Ruthven, Alexander Grant, 1882-1971.",22
Student publications.,22
University of Michigan--Commencements.,22
University of Michigan. Institute for Social Research.,22
University of Michigan. School of Dentistry.,22
Arab Americans--Michigan.,21
"Bates, Henry Moore, 1869-1949.",21
Camping.,21
"Fleming, R. W. (Robben Wright), 1916-",21
Jackson (Mich.),21
Libraries--Michigan--Ann Arbor.,21
Michigan--Politics and government--1877-1898.,21
Michigan--Politics and government--1917-1921.,21
Port Huron (Mich.),21
Recreation.,21
Schools--Michigan.,21
Soldiers--American--Russia (Federation),21
Temperance--United States.,21
University of Michigan--Students--Social life and customs--1941-1950.,21
University of Michigan. Dept. of History.,21
Airplanes.,20
Ann Arbor (Mich.). Common Council.,20
Buildings--Michigan--Ann Arbor.,20
Calendars.,20
Construction industry.,20
Episcopal Church--Michigan--Detroit.,20
German Americans--Michigan.,20
Hunting--Michigan.,20
Mackinac Bridge (Mich.),20
Muskegon (Mich.),20
Nursing--Michigan--Ann Arbor.,20
Offices.,20
Philippines--History--1946-1986.,20
"Reuther, Walter, 1907-1970.",20
"Smith, William Alden, 1859-1932.",20
Soldiers--American.,20
"Staebler, Neil, 1905-",20
University of Michigan--Dramatics.,20
University of Michigan--Students--Social life and customs--1901-1910.,20
University of Michigan. College of Architecture and Design.,20
University of Michigan. Dept. of Physics.,20
University of Michigan. School of Business Administration.,20
Websites.,20
"Adams, Henry Carter, 1851-1921.",19
"Adams, Randolph Greenfield, 1892-1951.",19
Ambrotypes.,19
Ann Arbor (Mich.)--Business enterprises.,19
Art.,19
Automobile industry and trade--United States.,19
Bay City (Mich.),19
Business enterprises--Michigan--Ann Arbor.,19
Clergy--Michigan.,19
"Cooley, Charles Horton, 1864-1929.",19
Daguerreotypes.,19
Depressions--1929--Michigan.,19
Dormitories--Michigan--Ann Arbor.,19
Engineers--Michigan--Ann Arbor.,19
Horace H. Rackham School of Graduate Studies.,19
India.,19
Land use--Michigan.,19
Manistee (Mich.),19
Michigan--Social life and customs--20th century.,19
Michigan. Legislature. Senate.,19
Pontiac (Mich.),19
Taxation--Michigan.,19
Traverse City (Mich.),19
University of Michigan. Dept. of English Language and Literature.,19
"Warner, Frederick Maltby, 1865-1923.",19
"Wilson, Woodrow, 1856-1924.",19
Women college teachers--Michigan--Ann Arbor.,19
"World War, 1939-1945--Education and the war.",19
Adrian (Mich.),18
Aerial photographs.,18
Affirmative action programs--Michigan--Ann Arbor.,18
Afro-Americans--Michigan.,18
Ann Arbor (Mich.)--History.,18
Athletics--Michigan--Ann Arbor.,18
"Bryan, William Jennings, 1860-1925.",18
Churches.,18
Dexter (Mich.),18
"Effinger, John Robert, 1869-1933.",18
Engineering.,18
Ferries.,18
"Hoffman, Clare Eugene, 1875-1967.",18
"Hoover, J. Edgar (John Edgar), 1895-1972.",18
Mayors--Michigan--Ann Arbor.,18
Michigan--Social life and customs--1861-1870.,18
"Moody, Blair, 1902-1954.",18
"Nixon, Richard M. (Richard Milhous), 1913-",18
Oakland County (Mich.),18
"Pinchot, Gifford, 1865-1946.",18
Prohibition--Michigan.,18
"Sawyer, Walter H. (Walter Hulme), 1861-1931.",18
"Students, Foreign--Michigan--Ann Arbor.",18
Theatrical productions.,18
United States--Emigration and immigration.,18
United States--Politics and government--1945-1989.,18
University of Michigan. School of Nursing.,18
"Willkie, Wendell L. (Wendell Lewis), 1892-1944.",18
Women in politics--Michigan.,18
"World War, 1939-1945--Michigan--Ann Arbor.",18
African Americans--Michigan--Ann Arbor.,17
Ann Arbor (Mich.)--Church history.,17
Birmingham (Mich.),17
Clothing and dress.,17
Conservation of natural resources--United States.,17
Demonstrations.,17
Fishing--Michigan.,17
Immigrants--Michigan.,17
Indians of North America.,17
"Kelsey, Francis W. (Francis Willey), b. 1858.",17
Logging--Michigan.,17
"Lorch, Emil, 1870-1963.",17
Michigan--Emigration and immigration.,17
Michigan--Social life and customs--1871-1880.,17
Michigan--Social life and customs--1881-1890.,17
Michigan. National Guard.,17
Military parades and ceremonies.,17
Municipal government--Michigan--Ann Arbor.,17
"Newberry, Truman Handy, 1864-1945.",17
Poetry.,17
Presidents--United States--Election--1968.,17
Roads--Michigan.,17
"Sink, Charles Albert, 1879-1972.",17
Slides.,17
"United States. Army. Infantry, 339th.",17
Universities and colleges--Michigan.,17
University of Michigan--Choral organizations.,17
University of Michigan--Students--Social life and customs--1891-1900.,17
University of Michigan. Dept. of Law.,17
Women--Organizations.,17
Antislavery movements--United States.,16
"Authors, American--Michigan.",16
"Bentley, Alvin M. (Alvin Morell), 1918-1969.",16
"Catalogs, College.",16
Computers.,16
Detroit (Mich.)--Churches.,16
Elections--Michigan--1962.,16
Ford Motor Company.,16
"Ford, Gerald R., 1913-2006.",16
Funeral rites and ceremonies.,16
General Motors Corporation.,16
"Hannah, John A., 1902-",16
Holland (Mich.),16
"McMillan, James, 1838-1902.",16
"Meader, George, 1907-",16
Michigan Memorial Phoenix Project.,16
Owosso (Mich.),16
Political elections.,16
"Roosevelt, Theodore, 1858-1919.",16
"Shapiro, Harold T., 1935-",16
Ships.,16
University of Michigan--Religion.,16
"University of Michigan. College of Literature, Science, and the Arts.",16
University of Michigan. Dept. of Economics.,16
University of Michigan. Dept. of Psychology.,16
"Vietnam War, 1961-1975.",16
Alpena (Mich.),15
"Barbour, Levi L. (Levi Lewis), 1840-1925.",15
"Burrows, Julius C. (Julius Caesar), 1837-1915.",15
Carts and wagons.,15
Costumes.,15
Dearborn (Mich.),15
Democratic Party (Mich.). State Central Committee.,15
Detroit (Mich.)--Race relations.,15
Education--United States.,15
Elections--Michigan--1966.,15
"Farley, James Aloysius, 1888-",15
"Ford, Edsel, 1893-1943.",15
Gays--Michigan.,15
Gerontology.,15
"Guest, Edgar A. (Edgar Albert), 1881-1959.",15
"Haber, William, 1899-1988.",15
Harbor Springs (Mich.),15
Hillsdale (Mich.),15
"Hughes, Charles Evans, 1862-1948.",15
"Kellogg, John Harvey, 1852-1943.",15
Lawyers--Michigan.,15
Monroe (Mich.),15
Monuments and memorials.,15
Nurses--Michigan--Ann Arbor.,15
Physics.,15
Politics and government--1961-1970.,15
Public health--United States.,15
Radicalism--Michigan--Ann Arbor.,15
Slides (photographs),15
"Stone, Ralph, 1868-1956.",15
"Summerfield, Arthur Ellsworth, 1899-1972.",15
"United States. Army. Engineer Regiment, 310th.",15
United States. Congress. Senate.,15
University of Michigan. Alumni Association.,15
University of Michigan. Dept. of Philosophy.,15
University of Michigan. Dept. of Zoology.,15
University of Michigan. Museum of Anthropology.,15
"World War, 1914-1918--Michigan--Ann Arbor.",15
Anthropology.,14
Architects.,14
Baseball.,14
Botany.,14
Bridges.,14
Carriages and coaches.,14
"Chapin, Roy D. (Roy Dikeman), 1880-1936.",14
Civil rights--Michigan.,14
Civil rights--United States.,14
College teachers--Michigan--Ann Arbor.,14
Compact discs.,14
"Cramton, Louis C. (Louis Convers), b. 1875.",14
"Douglas, Paul Howard, 1892-",14
"Duderstadt, James J., 1942-",14
Elections--Michigan--1964.,14
Football.,14
