tag,attribute,attribute value,count,percentage of all tags
accessrestrict,type,[tags without this attribute],40369,99.97
accessrestrict,type,access,14,0.03
archdesc,audience,external,2836,99.72
archdesc,audience,[tags without this attribute],8,0.28
archdesc,level,collection,1784,62.73
archdesc,level,recordgrp,1060,37.27
archdesc,relatedencoding,MARC21,1743,61.29
archdesc,relatedencoding,marc21,1085,38.15
archdesc,relatedencoding,MARC,7,0.25
archdesc,relatedencoding,[tags without this attribute],7,0.25
archdesc,relatedencoding,ARC21,1,0.04
archdesc,relatedencoding,marc,1,0.04
archdesc,type,inventory,2834,99.65
archdesc,type,[tags without this attribute],7,0.25
archdesc,type,relatedmaterial,2,0.07
archdesc,type,re,1,0.04
archref,actuate,[tags without this attribute],232,90.98
archref,actuate,onrequest,22,8.63
archref,actuate,onload,1,0.39
archref,show,[tags without this attribute],232,90.98
archref,show,new,23,9.02
bibref,actuate,[tags without this attribute],2212,99.77
bibref,actuate,onrequest,5,0.23
bibref,show,[tags without this attribute],2212,99.77
bibref,show,new,5,0.23
c0x,audience,[tags without this attribute],779525,100.00
c0x,audience,internal,1,0.00
c0x,level,file,721205,92.52
c0x,level,item,24280,3.11
c0x,level,series,13483,1.73
c0x,level,otherlevel,10944,1.40
c0x,level,subseries,9248,1.19
c0x,level,[tags without this attribute],196,0.03
c0x,level,subgrp,170,0.02
c0x,otherlevel,[tags without this attribute],768579,98.60
c0x,otherlevel,item-part,5727,0.73
c0x,otherlevel,item-main,2429,0.31
c0x,otherlevel,sub-subseries,2308,0.30
c0x,otherlevel,sub-sub-subseries,361,0.05
c0x,otherlevel,sss-series,92,0.01
c0x,otherlevel,ssss-series,10,0.00
c0x,otherlevel,Accession,6,0.00
c0x,otherlevel,file,3,0.00
c0x,otherlevel,subseries,2,0.00
c0x,otherlevel,accession,2,0.00
c0x,otherlevel,sub-ssuberies,1,0.00
c0x,otherlevel,acession,1,0.00
c0x,otherlevel,item,1,0.00
c0x,otherlevel,sub-series,1,0.00
c0x,otherlevel,SSS-series,1,0.00
c0x,otherlevel,ffile,1,0.00
c0x,otherlevel,iem-part,1,0.00
colspec,colnum,1,1,50.00
colspec,colnum,2,1,50.00
colspec,colwidth,75pt,1,50.00
colspec,colwidth,300pt,1,50.00
container,label,Box,620972,91.54
container,label,Folder,20818,3.07
container,label,Drawer,13625,2.01
container,label,Roll,13610,2.01
container,label,Oversize Volume,2858,0.42
container,label,Tube,2023,0.30
container,label,DVD Box,1141,0.17
container,label,Oversize Folder,968,0.14
container,label,Oversize Box,442,0.07
container,label,No.,393,0.06
container,label,Tray,359,0.05
container,label,Volume,289,0.04
container,label,Item,185,0.03
container,label,Con.,179,0.03
container,label,CD Box,159,0.02
container,label,[tags without this attribute],88,0.01
container,label,Scrapbook,38,0.01
container,label,Bundle,38,0.01
container,label,Cabinet,31,0.00
container,label,MF Reels,18,0.00
container,label,Out Case,18,0.00
container,label,Drawers,17,0.00
container,label,Folders,14,0.00
container,label,Display Panel,12,0.00
container,label,Film,12,0.00
container,label,Sound Disc,11,0.00
container,label,Oversize Scrapbook,10,0.00
container,label,Reel,7,0.00
container,label,Framed Citations,7,0.00
container,label,Microfilm,6,0.00
container,label,Outsize Folder,5,0.00
container,label,Framed photo,4,0.00
container,label,Phonographs,2,0.00
container,label,Oversize Frame,2,0.00
container,label,Framed Art,2,0.00
container,label,Oversize Item,2,0.00
container,label,Panel,2,0.00
container,label,Oversize Film,2,0.00
container,label,Outsize Box,2,0.00
container,label,Framed item,2,0.00
container,label,Atlas,1,0.00
container,label,Film Reel,1,0.00
container,label,Sound Rec. Box,1,0.00
container,label,Oversize Videotape,1,0.00
container,label,Sound Discs,1,0.00
container,label,Portfolio,1,0.00
container,type,box,622773,91.80
container,type,folder,21804,3.21
container,type,reel,13663,2.01
container,type,map-case,13641,2.01
container,type,volume,3198,0.47
container,type,tube,2023,0.30
container,type,othertype,572,0.08
container,type,tray,359,0.05
container,type,item,187,0.03
container,type,[tags without this attribute],87,0.01
container,type,bundle,38,0.01
container,type,object,29,0.00
container,type,sound-disc,2,0.00
container,type,panel,2,0.00
container,type,mao-case,1,0.00
controlaccess,audience,[tags without this attribute],9967,99.95
controlaccess,audience,external,3,0.03
controlaccess,audience,internal,2,0.02
corpname,audience,[tags without this attribute],19447,99.91
corpname,audience,internal,17,0.09
corpname,role,[tags without this attribute],19459,99.97
corpname,role,subject,3,0.02
corpname,role,Collector,2,0.01
corpname,source,lcnaf,14287,73.40
corpname,source,[tags without this attribute],5160,26.51
corpname,source,lcsh,11,0.06
corpname,source,local,6,0.03
dao,actuate,onrequest,7488,98.75
dao,actuate,[tags without this attribute],94,1.24
