attribute value,count
,88
Atlas,1
Box,621052
Boxes,14
Bundle,38
CD Box,159
Cabinet,31
Con.,179
DVD Box,1141
Display Panel,12
Drawer,13632
Drawers,17
Film,12
Film Reel,1
Folder,20821
Folders,14
Framed Art,2
Framed Citations,7
Framed item,2
Framed photo,4
Item,185
MF Reels,18
Microfilm,6
No.,393
Out Case,18
Oversize Box,304
Oversize Film,2
Oversize Folder,956
Oversize Frame,2
Oversize Item,2
Oversize Scrapbook,10
Oversize Videotape,1
Oversize Volume,2655
Panel,2
Phonographs,2
Portfolio,1
Reel,7
Roll,13610
Scrapbook,38
Sound Disc,9
Sound Discs,1
Sound Rec. Box,1
Tray,359
Tube,2017
Volume,289
