attribute value,count
 - ,87
box - Box,621046
box - Boxes,14
box - CD Box,159
box - Cabinet,31
box - DVD Box,1141
box - Folder,1
box - Out Case,18
box - Oversize Box,304
box - Phonographs,2
box - Sound Disc,7
box - Sound Discs,1
box - Sound Rec. Box,1
bundle - Bundle,38
cabinet - Drawer,8
folder - Folder,20820
folder - Folders,14
folder - Oversize Folder,956
item - Item,185
item - Oversize Item,2
map-case - Drawer,13624
map-case - Drawers,17
object - Display Panel,12
object - Framed Art,2
object - Framed Citations,7
object - Framed item,2
object - Framed photo,4
object - Oversize Frame,2
othertype - Con.,179
othertype - No.,393
panel - Panel,2
reel - Box,6
reel - Film,12
reel - Film Reel,1
reel - MF Reels,18
reel - Microfilm,6
reel - Oversize Film,2
reel - Oversize Videotape,1
reel - Reel,7
reel - Roll,13610
sound-disc - Sound Disc,2
tray - Tray,359
tube - Tube,2017
volume - ,1
volume - Atlas,1
volume - Oversize Scrapbook,10
volume - Oversize Volume,2655
volume - Portfolio,1
volume - Scrapbook,38
volume - Volume,289
