EAD file,xpath,note
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[24]/c03[7]/c04[21]/c05[2]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[15]/c03[5]/c04[2]/c05[1]/did/unittitle,This c0x tag already has an extent -- moving the parenthetical extent may overwrite or duplicate data. Needs manual review
athdept.xml,/ead/archdesc/dsc/c01[1]/c02[12]/c03[2]/c04[38]/c05[1]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
hbjoy.xml,/ead/archdesc/dsc/c01[5]/c02[24]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
hbjoy.xml,/ead/archdesc/dsc/c01[5]/c02[23]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ppolicy.xml,/ead/archdesc/dsc/c01[14]/c02[2]/c03[8]/did/unittitle,This c0x tag already has an extent -- moving the parenthetical extent may overwrite or duplicate data. Needs manual review
lsacoll.xml,/ead/archdesc/dsc/c01[1]/c02[40]/c03[2]/c04[8]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
mucc.xml,/ead/archdesc/dsc/c01[8]/c02[2]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
mucc.xml,/ead/archdesc/dsc/c01[8]/c02[1]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
wleague.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[4]/c04/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
warnerrm.xml,/ead/archdesc/dsc/c01[2]/c02[4]/c03[3]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
likertr.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[20]/did/unittitle,This c0x tag already has an extent -- moving the parenthetical extent may overwrite or duplicate data. Needs manual review
likertr.xml,/ead/archdesc/dsc/c01[2]/c02[3]/c03[19]/did/unittitle,This c0x tag already has an extent -- moving the parenthetical extent may overwrite or duplicate data. Needs manual review
bracecl.xml,/ead/archdesc/dsc/c01[10]/c02[41]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
bracecl.xml,/ead/archdesc/dsc/c01[10]/c02[31]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
bracecl.xml,/ead/archdesc/dsc/c01[10]/c02[30]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
bracecl.xml,/ead/archdesc/dsc/c01[10]/c02[29]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
tausigd.xml,/ead/archdesc/dsc/c01[2]/c02[6]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
dunhamar.xml,/ead/archdesc/dsc/c01[6]/c02[7]/c03[2]/c04[3]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
meamum.xml,/ead/archdesc/dsc/c01[5]/c02[2]/c03[21]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[4]/c04[65]/c05[5]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[4]/c04[65]/c05[4]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[3]/c04[26]/c05[3]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[3]/c04[26]/c05[2]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[3]/c04[7]/c05[1]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[3]/c04[4]/c05[9]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
ulibrary.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[3]/c04[4]/c05[8]/did,container and parenthetical extent match -- needs manual review if extent is larger than container value
