name,number of appearances within EADs
series->subseries->file,142791
series->file,108797
series->file->file,97361
series->subseries->file->file,76758
series->file->file->file,28756
series->subseries->file->file->file,25701
series->subseries->otherlevel->file,25662
subgrp->series->subseries->file->file,24950
subgrp->series->subseries->file,21985
series->subseries->otherlevel->file->file,12845
subgrp->series->subseries->otherlevel->file->file,9343
subgrp->series->subseries->file->file->file,8930
subgrp->series->file->file,7833
subgrp->series->file,6620
subgrp->series->subseries->otherlevel->file,6366
series->item,6270
series->file->file->file->file,5885
series->file->item,5844
series->subseries->item,4992
series->subseries->file->file->file->file,4927
series->subseries->otherlevel->file->file->file,4695
series->subseries->otherlevel->otherlevel->file,4439
subgrp->series->file->file->file,2983
series->subseries->file->item,2663
subgrp->series->subseries->otherlevel->file->file->file,2371
subgrp->series->subseries->file->file->file->file,2135
series->series->file,2024
series->otherlevel->otherlevel,1939
series->series->subseries->file,1686
series->subseries->otherlevel->otherlevel,1579
series->series->otherlevel->file,1235
series->series->file->file,1181
series->file->file->file->file->file,1097
subgrp->series->file->file->file->file,1023
series->subseries->file->file->file->file->file,995
subgrp->series->otherlevel->file,957
series->file->file->item,854
subgrp->series->subseries->item->otherlevel,742
series->subseries->file->file->item,690
series->otherlevel->item->otherlevel,666
series->subseries->otherlevel->file->file->file->file,642
otherlevel->series->subseries->file->file,635
series->series->file->file->file,588
series->file->file->file->item,578
otherlevel->series->subseries->file,545
subgrp->series->subseries->file->file->file->file->file,523
subgrp->series->otherlevel->file->file,459
subgrp->series->subseries->otherlevel->otherlevel->file->file,448
series->subseries->otherlevel->file->item,436
subgrp->series->item->otherlevel,434
series->subseries->otherlevel->otherlevel->file->file,381
otherlevel->series->subseries->file->file->file,306
series->series->otherlevel->file->file,303
subgrp->series->series->file->file,295
series->series->file->file->file->file,259
subgrp->series->series->file,234
series->subseries->otherlevel->item,211
subgrp->series->file->otherlevel->file->file,209
subgrp->series->file->otherlevel->file,206
subgrp->series->subseries->otherlevel->otherlevel->file,175
series->subseries->item->otherlevel,174
otherlevel->series->file,163
subgrp->series->subseries->otherlevel->file->file->file->file,158
subgrp->file->file->file,153
series->series->otherlevel->file->file->file,152
series->subseries->file->file->file->file->file->file,145
series->subseries->otherlevel->otherlevel->file->file->file,142
subgrp->series->file->file->file->file->file,142
subgrp->file->file->file->file,124
subgrp->subseries->file->file->file,102
series->file->file->file->file->file->file,99
series->otherlevel->file,97
subgrp->series->series->file->file->file,90
subgrp->series->series->file->item,90
series->item->otherlevel,82
series->subseries->file->item->otherlevel,77
subgrp->series->otherlevel->file->file->file,77
file->file,72
series->subseries->otherlevel->file->file->item,66
subgrp->series->file->item,62
series->subseries->otherlevel->otherlevel->file->item,61
series->otherlevel->item,58
series->subseries->item->file,53
series->file->file->file->file->item,52
series->file->item->otherlevel,48
series->subseries->otherlevel->file->file->file->file->file,46
series->subseries->file->item->item,45
series->otherlevel->file->file,44
otherlevel->series->subseries->file->file->file->file,42
subgrp->series->subseries,42
subgrp->file->file->file->file->file,39
otherlevel->series->file->file,38
subgrp->series->file->otherlevel->file->file->file,38
series->file->subseries->file,35
series->subseries->otherlevel,35
subgrp->series->item,35
series->file->otherlevel->file,33
series->subseries->otherlevel->otherlevel->file->file->file->file,32
series->series->file->file->file->file->file,29
series->subseries,29
series->subseries->file->file->file->file->file->file->file,26
subgrp->series->otherlevel->file->file->file->file,24
subgrp->series->series->item,24
subgrp->series->file->file->file->file->file->file,22
subgrp->series->subseries->item,21
series->subseries->file->item->file,17
series->otherlevel->item->item,15
series,13
subgrp->file->file->file->file->file->file,13
subgrp->series->file->file->item,13
series->file->file->file->file->file->item,12
series->subseries->otherlevel->item->otherlevel,12
subgrp->file->file,12
subgrp->series->subseries->otherlevel->otherlevel->file->file->file,12
series->file->file->file->file->file->file->item,11
series->file->file->item->item,11
series->file->item->item,11
series->item->item,11
subgrp->series->subseries->file->item,11
subgrp->series->file->file->otherlevel->file,10
file,9
otherlevel->series->file->otherlevel,9
series->file->otherlevel->file->file,9
series->series->file->file->file->file->file->file,9
series->subseries->item->item->otherlevel,9
subgrp->series->subseries->file->file->file->file->file->file,9
series->subseries->subseries->file,8
series->subseries->file->file->item->file,7
series->subseries->file->item->item->file,7
subgrp->series->series->file->file->file->file,7
series->subseries->otherlevel->file->item->file,6
subgrp->series->file->item->otherlevel,6
subgrp->subseries->file->file,6
subgrp->file,5
otherlevel->series->file->file->file,4
series->file->file->file->file->file->file->file,4
series->otherlevel->file->file->file,4
series->subseries->otherlevel->file->file->file->item,4
subgrp->series->subseries->file->file->item,4
subgrp->series->subseries->otherlevel->file->file->file->file->file,4
otherlevel->series->item->otherlevel,3
otherlevel->series->otherlevel->otherlevel,3
series->file->otherlevel,3
series->series->item,3
series->subseries->file->otherlevel->file,3
series->subseries->item->file->file,2
series->subseries->item->file->item,2
series->subseries->item->item,2
series->subseries->otherlevel->item->item,2
series->subseries->otherlevel->otherlevel->otherlevel,2
subgrp->series->subseries->subseries,2
item,1
series->file->file->otherlevel,1
series->subseries->item->item->file,1
series->subseries->item->item->item,1
series->subseries->otherlevel->item->file,1
series->subseries->subseries,1
subgrp->series,1
subgrp->series->otherlevel,1
subgrp->series->subseries->otherlevel,1
subgrp->subseries->file,1
