tag,attribute,attribute value,count,percentage of all tags
accessrestrict,type,[tags without this attribute],40369,99.97
accessrestrict,type,access,14,0.03
archdesc,audience,external,2838,99.72
archdesc,audience,[tags without this attribute],8,0.28
archdesc,level,collection,1786,62.75
archdesc,level,recordgrp,1060,37.25
archdesc,relatedencoding,MARC21,2846,100.00
archdesc,type,inventory,2846,100.00
archref,actuate,[tags without this attribute],232,90.98
archref,actuate,onrequest,22,8.63
archref,actuate,onload,1,0.39
archref,show,[tags without this attribute],232,90.98
archref,show,new,23,9.02
bibref,actuate,[tags without this attribute],2212,99.77
bibref,actuate,onrequest,5,0.23
bibref,show,[tags without this attribute],2212,99.77
bibref,show,new,5,0.23
c0x,level,file,721450,92.54
c0x,level,item,24280,3.11
c0x,level,series,13492,1.73
c0x,level,otherlevel,10943,1.40
c0x,level,subseries,9251,1.19
c0x,level,subgrp,170,0.02
c0x,otherlevel,[tags without this attribute],768640,98.60
c0x,otherlevel,item-part,5729,0.73
c0x,otherlevel,item-main,2429,0.31
c0x,otherlevel,sub-subseries,2311,0.30
c0x,otherlevel,sub-sub-subseries,361,0.05
c0x,otherlevel,sss-series,93,0.01
c0x,otherlevel,ssss-series,10,0.00
c0x,otherlevel,accession,9,0.00
c0x,otherlevel,file,3,0.00
c0x,otherlevel,sub-series,1,0.00
colspec,colnum,1,1,50.00
colspec,colnum,2,1,50.00
colspec,colwidth,75pt,1,50.00
colspec,colwidth,300pt,1,50.00
container,label,Box,621213,91.52
container,label,Folder,20811,3.07
container,label,Drawer,13647,2.01
container,label,Roll,13610,2.01
container,label,Oversize Volume,2944,0.43
container,label,Tube,2023,0.30
container,label,DVD Box,1141,0.17
container,label,Oversize Folder,997,0.15
container,label,Oversize Box,462,0.07
container,label,No.,393,0.06
container,label,Tray,359,0.05
container,label,Volume,289,0.04
container,label,Item,185,0.03
container,label,Con.,179,0.03
container,label,CD Box,159,0.02
container,label,[tags without this attribute],88,0.01
container,label,Scrapbook,38,0.01
container,label,Bundle,38,0.01
container,label,Cabinet,31,0.00
container,label,MF Reels,18,0.00
container,label,Out Case,18,0.00
container,label,Drawers,17,0.00
container,label,Folders,14,0.00
container,label,Display Panel,12,0.00
container,label,Film,12,0.00
container,label,Sound Disc,11,0.00
container,label,Oversize Scrapbook,10,0.00
container,label,Reel,7,0.00
container,label,Framed Citations,7,0.00
container,label,Microfilm,6,0.00
container,label,Outsize Folder,5,0.00
container,label,Framed photo,4,0.00
container,label,Phonographs,2,0.00
container,label,Oversize Frame,2,0.00
container,label,Framed Art,2,0.00
container,label,Oversize Item,2,0.00
container,label,Panel,2,0.00
container,label,Oversize Film,2,0.00
container,label,Outsize Box,2,0.00
container,label,Framed item,2,0.00
container,label,Atlas,1,0.00
container,label,Film Reel,1,0.00
container,label,Sound Rec. Box,1,0.00
container,label,Oversize Videotape,1,0.00
container,label,Sound Discs,1,0.00
container,label,Portfolio,1,0.00
container,type,box,623034,91.79
container,type,folder,21826,3.22
container,type,map-case,13664,2.01
container,type,reel,13663,2.01
container,type,volume,3284,0.48
container,type,tube,2023,0.30
container,type,othertype,572,0.08
container,type,tray,359,0.05
container,type,item,187,0.03
container,type,[tags without this attribute],87,0.01
container,type,bundle,38,0.01
container,type,object,29,0.00
container,type,sound-disc,2,0.00
container,type,panel,2,0.00
corpname,role,[tags without this attribute],19459,99.97
corpname,role,subject,3,0.02
corpname,role,Collector,2,0.01
corpname,source,lcnaf,14301,73.47
corpname,source,[tags without this attribute],5162,26.52
corpname,source,local,1,0.01
dao,actuate,onrequest,7489,98.75
dao,actuate,[tags without this attribute],94,1.24
dao,actuate,onload,1,0.01
dao,show,new,7488,98.73
dao,show,[tags without this attribute],94,1.24
dao,show,replace,2,0.03
date,type,restriction,25708,50.45
date,type,[tags without this attribute],22645,44.44
date,type,restrict,1073,2.11
date,type,publication,1052,2.06
date,type,inclusive,427,0.84
date,type,copyright,37,0.07
date,type,single,11,0.02
descgrp,type,admin,2846,84.33
descgrp,type,add,477,14.13
descgrp,type,[tags without this attribute],52,1.54
dsc,type,combined,2844,99.89
dsc,type,[tags without this attribute],2,0.07
dsc,type,in-depth,1,0.04
eadheader,audience,internal,2834,99.58
eadheader,audience,[tags without this attribute],11,0.39
eadheader,audience,external,1,0.04
eadheader,countryencoding,iso3166-1,1769,62.16
eadheader,countryencoding,[tags without this attribute],1077,37.84
eadheader,dateencoding,iso8601,2810,98.74
eadheader,dateencoding,[tags without this attribute],36,1.26
eadheader,langencoding,iso639-2b,2811,98.77
eadheader,langencoding,[tags without this attribute],30,1.05
eadheader,langencoding,iso639-2,5,0.18
eadheader,relatedencoding,Dublin Core,2839,99.75
